,Bolivia,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Chuquisaca,Tarija,Beni,Pando
2020-03-10,,,,,,,,,,
2020-03-11,,,,,,,,,,
2020-03-12,,,,,,,,,,
2020-03-13,,,,,,,,,,
2020-03-14,,,,,,,,,,
2020-03-15,,,,,,,,,,
2020-03-16,,,,,,,,,,
2020-03-17,,,,,,,,,,
2020-03-18,,,,,,,,,,
2020-03-19,,,,,,,,,,
2020-03-20,,,,,,,,,,
2020-03-21,,,,,,,,,,
2020-03-22,,,,,,,,,,
2020-03-23,26.0,1.0,3.0,15.0,7.0,0.0,0.0,0.0,0.0,0.0
2020-03-24,30.0,2.0,3.0,18.0,7.0,0.0,0.0,0.0,0.0,0.0
2020-03-25,36.0,4.0,3.0,22.0,7.0,0.0,0.0,0.0,0.0,0.0
2020-03-26,58.0,8.0,10.0,32.0,7.0,1.0,0.0,0.0,0.0,0.0
2020-03-27,64.0,8.0,13.0,40.0,1.0,1.0,1.0,0.0,0.0,0.0
2020-03-28,71.0,10.0,13.0,42.0,1.0,3.0,1.0,0.0,0.0,1.0
2020-03-29,85.0,13.0,17.0,49.0,1.0,3.0,1.0,0.0,0.0,1.0
2020-03-30,96.0,14.0,19.0,56.0,1.0,3.0,1.0,1.0,0.0,1.0
2020-03-31,103.0,16.0,19.0,60.0,1.0,4.0,1.0,1.0,0.0,1.0
2020-04-01,111.0,16.0,20.0,64.0,1.0,4.0,1.0,1.0,0.0,4.0
2020-04-02,116.0,18.0,20.0,65.0,0.0,5.0,1.0,1.0,0.0,6.0
2020-04-03,120.0,19.0,22.0,66.0,0.0,5.0,1.0,1.0,0.0,6.0
2020-04-04,137.0,22.0,22.0,80.0,0.0,5.0,1.0,1.0,0.0,6.0
2020-04-05,156.0,31.0,30.0,82.0,0.0,5.0,1.0,1.0,0.0,6.0
2020-04-06,166.0,36.0,30.0,84.0,0.0,8.0,1.0,1.0,0.0,6.0
2020-04-07,178.0,37.0,35.0,84.0,0.0,10.0,1.0,1.0,0.0,10.0
2020-04-08,225.0,53.0,44.0,103.0,0.0,13.0,1.0,1.0,0.0,10.0
2020-04-09,207.0,49.0,38.0,96.0,0.0,12.0,1.0,1.0,0.0,10.0
2020-04-10,201.0,51.0,34.0,92.0,1.0,12.0,0.0,1.0,0.0,10.0
2020-04-11,219.0,55.0,35.0,103.0,3.0,12.0,0.0,1.0,0.0,10.0
2020-04-12,234.0,60.0,34.0,111.0,5.0,12.0,0.0,2.0,0.0,10.0
2020-04-13,247.0,66.0,34.0,118.0,6.0,12.0,0.0,1.0,0.0,10.0
2020-04-14,282.0,75.0,37.0,126.0,22.0,11.0,0.0,1.0,0.0,10.0
2020-04-15,318.0,85.0,38.0,147.0,29.0,11.0,0.0,1.0,0.0,7.0
2020-04-16,333.0,101.0,37.0,148.0,30.0,11.0,0.0,1.0,0.0,5.0
2020-04-17,354.0,100.0,36.0,163.0,34.0,13.0,0.0,2.0,0.0,6.0
2020-04-18,363.0,103.0,36.0,166.0,37.0,13.0,0.0,2.0,0.0,6.0
2020-04-19,381.0,101.0,28.0,193.0,37.0,14.0,0.0,2.0,0.0,6.0
2020-04-20,404.0,97.0,28.0,217.0,41.0,11.0,0.0,2.0,2.0,6.0
2020-04-21,399.0,98.0,24.0,221.0,41.0,9.0,0.0,2.0,2.0,2.0
2020-04-22,408.0,83.0,16.0,244.0,51.0,8.0,0.0,2.0,2.0,2.0
2020-04-23,435.0,93.0,18.0,255.0,54.0,8.0,1.0,2.0,2.0,2.0
2020-04-24,532.0,96.0,22.0,312.0,56.0,8.0,1.0,2.0,33.0,2.0
2020-04-25,566.0,94.0,22.0,342.0,54.0,11.0,1.0,2.0,39.0,1.0
2020-04-26,620.0,95.0,26.0,362.0,66.0,11.0,1.0,1.0,57.0,1.0
2020-04-27,660.0,105.0,24.0,376.0,78.0,11.0,2.0,1.0,62.0,1.0
2020-04-28,656.0,97.0,22.0,397.0,62.0,11.0,2.0,1.0,63.0,1.0
2020-04-29,669.0,101.0,21.0,400.0,65.0,11.0,2.0,1.0,67.0,1.0
2020-04-30,702.0,98.0,21.0,438.0,64.0,10.0,2.0,1.0,67.0,1.0
2020-05-01,736.0,101.0,20.0,456.0,65.0,8.0,3.0,0.0,83.0,0.0
2020-05-02,950.0,110.0,21.0,551.0,66.0,8.0,3.0,0.0,191.0,0.0
2020-05-03,1030.0,108.0,20.0,614.0,66.0,7.0,3.0,0.0,212.0,0.0
2020-05-04,1083.0,109.0,21.0,662.0,62.0,14.0,4.0,1.0,210.0,0.0
2020-05-05,1193.0,116.0,20.0,759.0,64.0,16.0,5.0,3.0,210.0,0.0
2020-05-06,1214.0,120.0,19.0,789.0,54.0,14.0,5.0,3.0,210.0,0.0
2020-05-07,1378.0,121.0,16.0,933.0,53.0,14.0,9.0,3.0,229.0,0.0
2020-05-08,1459.0,139.0,20.0,941.0,51.0,14.0,9.0,6.0,279.0,0.0
2020-05-09,1571.0,142.0,24.0,1048.0,56.0,9.0,12.0,7.0,273.0,0.0
2020-05-10,1606.0,141.0,26.0,1108.0,45.0,9.0,13.0,7.0,257.0,0.0
2020-05-11,1817.0,128.0,31.0,1270.0,32.0,10.0,12.0,7.0,327.0,0.0
2020-05-12,1911.0,128.0,51.0,1338.0,36.0,10.0,12.0,10.0,326.0,0.0
2020-05-13,2038.0,117.0,68.0,1426.0,26.0,10.0,12.0,10.0,369.0,0.0
2020-05-14,2205.0,104.0,90.0,1507.0,30.0,10.0,12.0,10.0,442.0,0.0
2020-05-15,2348.0,107.0,116.0,1604.0,25.0,10.0,11.0,10.0,465.0,0.0
2020-05-16,2356.0,97.0,133.0,1712.0,22.0,10.0,12.0,10.0,360.0,0.0
2020-05-17,2494.0,94.0,143.0,1859.0,24.0,12.0,13.0,10.0,339.0,0.0
2020-05-18,2582.0,99.0,146.0,1915.0,26.0,6.0,12.0,9.0,369.0,0.0
2020-05-19,2679.0,102.0,164.0,1899.0,25.0,4.0,11.0,7.0,467.0,0.0
2020-05-20,3033.0,103.0,177.0,2081.0,25.0,5.0,13.0,8.0,621.0,0.0
2020-05-21,3106.0,104.0,184.0,2096.0,26.0,6.0,8.0,11.0,671.0,0.0
2020-05-22,3313.0,87.0,195.0,2278.0,27.0,6.0,8.0,9.0,703.0,0.0
2020-05-23,3478.0,85.0,200.0,2363.0,24.0,6.0,7.0,8.0,785.0,0.0
2020-05-24,3707.0,85.0,225.0,2566.0,26.0,7.0,6.0,8.0,783.0,1.0
2020-05-25,3829.0,90.0,230.0,2704.0,27.0,8.0,7.0,9.0,753.0,1.0
2020-05-26,4172.0,94.0,215.0,2963.0,25.0,8.0,7.0,6.0,853.0,1.0
2020-05-27,4620.0,96.0,228.0,3325.0,27.0,8.0,10.0,6.0,919.0,1.0
2020-05-28,5015.0,101.0,249.0,3611.0,27.0,10.0,10.0,9.0,997.0,1.0
2020-05-29,5154.0,116.0,292.0,3649.0,34.0,12.0,10.0,11.0,1028.0,2.0
2020-05-30,5766.0,145.0,342.0,4024.0,57.0,12.0,9.0,19.0,1156.0,2.0
2020-05-31,5894.0,172.0,387.0,3948.0,69.0,30.0,9.0,19.0,1258.0,2.0
2020-06-01,6268.0,213.0,486.0,4124.0,73.0,31.0,11.0,24.0,1304.0,2.0
2020-06-02,6510.0,259.0,540.0,4253.0,80.0,54.0,12.0,24.0,1286.0,2.0
2020-06-03,6719.0,272.0,592.0,4396.0,84.0,58.0,12.0,26.0,1268.0,11.0
2020-06-04,7058.0,286.0,632.0,4538.0,97.0,78.0,13.0,27.0,1376.0,11.0
2020-06-05,7149.0,311.0,675.0,4479.0,104.0,106.0,19.0,31.0,1413.0,11.0
2020-06-06,7443.0,351.0,727.0,4656.0,111.0,130.0,18.0,40.0,1375.0,35.0
2020-06-07,7380.0,360.0,768.0,4477.0,110.0,141.0,18.0,40.0,1414.0,52.0
2020-06-08,7289.0,373.0,823.0,4284.0,123.0,144.0,21.0,46.0,1423.0,52.0
2020-06-09,7508.0,394.0,886.0,4336.0,135.0,156.0,21.0,49.0,1450.0,81.0
2020-06-10,7513.0,427.0,921.0,4228.0,150.0,161.0,36.0,50.0,1423.0,117.0
2020-06-11,7778.0,509.0,950.0,4353.0,175.0,222.0,49.0,55.0,1303.0,162.0
2020-06-12,8198.0,539.0,953.0,4590.0,192.0,226.0,60.0,63.0,1351.0,224.0
2020-06-13,8250.0,586.0,981.0,4612.0,179.0,247.0,75.0,80.0,1237.0,253.0
2020-06-14,8477.0,642.0,1112.0,4713.0,174.0,263.0,76.0,80.0,1145.0,272.0
2020-06-15,8542.0,658.0,1164.0,4723.0,179.0,273.0,89.0,86.0,1077.0,293.0
2020-06-16,8892.0,640.0,1129.0,5131.0,182.0,268.0,100.0,112.0,1029.0,301.0
2020-06-17,9047.0,663.0,1190.0,5088.0,198.0,280.0,103.0,135.0,1027.0,363.0
2020-06-18,9254.0,725.0,1281.0,5036.0,205.0,273.0,153.0,147.0,1048.0,386.0
2020-06-19,9748.0,777.0,1342.0,5395.0,212.0,260.0,158.0,157.0,1045.0,402.0
2020-06-20,10154.0,808.0,1338.0,5609.0,213.0,253.0,214.0,181.0,1109.0,429.0
