cod_ine,fecha,municipio,confirmados,departamento,poblacion
30201,2020-07-08,Aiquile,3,Cochabamba,24676
30201,2020-07-10,Aiquile,3,Cochabamba,24676
30201,2020-07-17,Aiquile,2,Cochabamba,24676
30201,2020-07-18,Aiquile,1,Cochabamba,24676
30201,2020-07-20,Aiquile,3,Cochabamba,24676
30201,2020-07-21,Aiquile,1,Cochabamba,24676
30201,2020-07-25,Aiquile,4,Cochabamba,24676
30201,2020-07-28,Aiquile,3,Cochabamba,24676
30201,2020-07-31,Aiquile,4,Cochabamba,24676
30201,2020-08-03,Aiquile,5,Cochabamba,24676
30201,2020-08-04,Aiquile,3,Cochabamba,24676
30201,2020-08-08,Aiquile,1,Cochabamba,24676
30201,2020-08-13,Aiquile,1,Cochabamba,24676
30201,2020-09-01,Aiquile,3,Cochabamba,24676
30201,2020-09-03,Aiquile,3,Cochabamba,24676
30201,2020-09-07,Aiquile,1,Cochabamba,24676
30201,2020-09-12,Aiquile,1,Cochabamba,24676
30201,2020-09-20,Aiquile,1,Cochabamba,24676
30201,2020-09-26,Aiquile,1,Cochabamba,24676
30201,2020-10-07,Aiquile,1,Cochabamba,24676
30201,2020-10-29,Aiquile,2,Cochabamba,24676
30201,2020-11-21,Aiquile,6,Cochabamba,24676
30201,2020-11-24,Aiquile,1,Cochabamba,24676
30201,2020-11-25,Aiquile,2,Cochabamba,24676
30201,2020-11-26,Aiquile,5,Cochabamba,24676
30201,2020-11-27,Aiquile,1,Cochabamba,24676
30201,2020-12-07,Aiquile,3,Cochabamba,24676
30201,2020-12-11,Aiquile,1,Cochabamba,24676
30201,2020-12-12,Aiquile,1,Cochabamba,24676
30201,2020-12-18,Aiquile,1,Cochabamba,24676
30201,2020-12-21,Aiquile,1,Cochabamba,24676
30201,2020-12-22,Aiquile,1,Cochabamba,24676
30201,2020-12-24,Aiquile,4,Cochabamba,24676
30201,2020-12-28,Aiquile,2,Cochabamba,24676
30201,2020-12-30,Aiquile,1,Cochabamba,24676
30201,2021-01-06,Aiquile,2,Cochabamba,24676
30201,2021-01-07,Aiquile,2,Cochabamba,24676
30201,2021-01-09,Aiquile,1,Cochabamba,24676
30201,2021-01-11,Aiquile,2,Cochabamba,24676
30201,2021-01-12,Aiquile,1,Cochabamba,24676
30201,2021-01-13,Aiquile,1,Cochabamba,24676
30201,2021-01-14,Aiquile,4,Cochabamba,24676
30201,2021-01-15,Aiquile,7,Cochabamba,24676
30201,2021-01-16,Aiquile,7,Cochabamba,24676
30201,2021-01-18,Aiquile,4,Cochabamba,24676
30201,2021-01-19,Aiquile,3,Cochabamba,24676
30201,2021-01-21,Aiquile,2,Cochabamba,24676
30201,2021-01-23,Aiquile,8,Cochabamba,24676
30201,2021-01-25,Aiquile,2,Cochabamba,24676
30201,2021-01-26,Aiquile,1,Cochabamba,24676
30201,2021-01-28,Aiquile,10,Cochabamba,24676
30201,2021-02-01,Aiquile,4,Cochabamba,24676
30201,2021-02-02,Aiquile,3,Cochabamba,24676
30201,2021-02-03,Aiquile,1,Cochabamba,24676
30201,2021-02-04,Aiquile,4,Cochabamba,24676
30201,2021-02-06,Aiquile,3,Cochabamba,24676
30201,2021-02-09,Aiquile,4,Cochabamba,24676
30201,2021-02-10,Aiquile,3,Cochabamba,24676
30201,2021-02-11,Aiquile,3,Cochabamba,24676
30201,2021-02-12,Aiquile,1,Cochabamba,24676
30201,2021-02-13,Aiquile,1,Cochabamba,24676
30201,2021-02-16,Aiquile,1,Cochabamba,24676
30201,2021-02-17,Aiquile,1,Cochabamba,24676
30201,2021-02-20,Aiquile,1,Cochabamba,24676
30201,2021-02-22,Aiquile,1,Cochabamba,24676
30201,2021-02-23,Aiquile,1,Cochabamba,24676
30201,2021-02-26,Aiquile,2,Cochabamba,24676
30201,2021-02-27,Aiquile,1,Cochabamba,24676
30201,2021-03-01,Aiquile,1,Cochabamba,24676
30201,2021-03-02,Aiquile,2,Cochabamba,24676
30201,2021-03-05,Aiquile,1,Cochabamba,24676
30201,2021-03-15,Aiquile,1,Cochabamba,24676
30201,2021-03-16,Aiquile,1,Cochabamba,24676
30201,2021-03-17,Aiquile,3,Cochabamba,24676
30201,2021-03-19,Aiquile,1,Cochabamba,24676
30201,2021-03-22,Aiquile,1,Cochabamba,24676
30201,2021-03-23,Aiquile,2,Cochabamba,24676
30201,2021-03-25,Aiquile,1,Cochabamba,24676
30201,2021-03-26,Aiquile,4,Cochabamba,24676
30201,2021-03-27,Aiquile,1,Cochabamba,24676
30201,2021-03-29,Aiquile,1,Cochabamba,24676
30201,2021-03-30,Aiquile,1,Cochabamba,24676
30201,2021-03-31,Aiquile,1,Cochabamba,24676
30201,2021-04-02,Aiquile,2,Cochabamba,24676
30201,2021-04-07,Aiquile,1,Cochabamba,24676
30201,2021-04-08,Aiquile,1,Cochabamba,24676
30201,2021-04-09,Aiquile,3,Cochabamba,24676
30201,2021-04-10,Aiquile,3,Cochabamba,24676
30201,2021-04-12,Aiquile,1,Cochabamba,24676
30201,2021-04-13,Aiquile,1,Cochabamba,24676
30201,2021-04-14,Aiquile,1,Cochabamba,24676
30201,2021-04-15,Aiquile,1,Cochabamba,24676
30201,2021-04-16,Aiquile,1,Cochabamba,24676
30201,2021-04-17,Aiquile,2,Cochabamba,24676
30201,2021-04-18,Aiquile,1,Cochabamba,24676
30201,2021-04-21,Aiquile,2,Cochabamba,24676
30201,2021-04-22,Aiquile,2,Cochabamba,24676
30201,2021-04-23,Aiquile,2,Cochabamba,24676
30201,2021-04-29,Aiquile,1,Cochabamba,24676
30201,2021-04-30,Aiquile,1,Cochabamba,24676
30201,2021-05-03,Aiquile,1,Cochabamba,24676
30201,2021-05-05,Aiquile,2,Cochabamba,24676
30201,2021-05-06,Aiquile,3,Cochabamba,24676
30201,2021-05-07,Aiquile,5,Cochabamba,24676
30201,2021-05-08,Aiquile,2,Cochabamba,24676
30201,2021-05-09,Aiquile,2,Cochabamba,24676
30201,2021-05-10,Aiquile,4,Cochabamba,24676
30201,2021-05-11,Aiquile,2,Cochabamba,24676
30201,2021-05-12,Aiquile,4,Cochabamba,24676
30201,2021-05-13,Aiquile,1,Cochabamba,24676
30201,2021-05-14,Aiquile,3,Cochabamba,24676
30201,2021-05-15,Aiquile,4,Cochabamba,24676
30201,2021-05-16,Aiquile,2,Cochabamba,24676
30201,2021-05-17,Aiquile,2,Cochabamba,24676
30201,2021-05-18,Aiquile,4,Cochabamba,24676
30201,2021-05-19,Aiquile,5,Cochabamba,24676
30201,2021-05-20,Aiquile,3,Cochabamba,24676
30201,2021-05-21,Aiquile,5,Cochabamba,24676
30201,2021-05-22,Aiquile,2,Cochabamba,24676
