municipio_x,fecha,cod_ine,confirmados,municipio_y,departamento,sdi,poblacion,urbanizacion
Alcalá,2020-06-17,10404,3,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2020-06-21,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2020-06-24,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2020-07-01,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2020-07-06,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2020-07-09,10404,2,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2020-07-28,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-01-12,10404,2,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-01-13,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-01-14,10404,2,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-01-15,10404,4,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-01-16,10404,6,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-01-17,10404,8,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-01-19,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-01-20,10404,4,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-01-21,10404,9,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-01-22,10404,14,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-01-24,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-01-25,10404,4,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-01-26,10404,17,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-01-27,10404,10,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-01-28,10404,3,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-01-29,10404,5,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-01-30,10404,2,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-02-03,10404,3,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-02-10,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-02-13,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-02-17,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-02-21,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-02-22,10404,2,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-02-23,10404,2,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-02-24,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-04-01,10404,5,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-04-14,10404,2,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-04-15,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-04-24,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-05-19,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-05-22,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-05-23,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-05-25,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-05-28,10404,7,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-05-29,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-05-30,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-05-31,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-06-01,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-06-02,10404,2,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-06-06,10404,2,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-06-14,10404,4,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-06-15,10404,3,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-06-16,10404,2,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-06-18,10404,3,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-06-19,10404,2,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-06-20,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-07-07,10404,5,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-07-08,10404,2,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-07-13,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-08-09,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-08-10,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
Alcalá,2021-08-20,10404,1,Villa Alcalá,Chuquisaca,48.1376912930888,5196,0.0
