cod_ine,fecha,municipio,confirmados,departamento,poblacion
70401,2020-04-26,Buena Vista,1,Santa Cruz,13184
70401,2020-05-13,Buena Vista,2,Santa Cruz,13184
70401,2020-05-14,Buena Vista,1,Santa Cruz,13184
70401,2020-05-17,Buena Vista,1,Santa Cruz,13184
70401,2020-05-19,Buena Vista,1,Santa Cruz,13184
70401,2020-05-22,Buena Vista,5,Santa Cruz,13184
70401,2020-05-24,Buena Vista,2,Santa Cruz,13184
70401,2020-05-31,Buena Vista,1,Santa Cruz,13184
70401,2020-06-12,Buena Vista,1,Santa Cruz,13184
70401,2020-06-13,Buena Vista,1,Santa Cruz,13184
70401,2020-06-16,Buena Vista,6,Santa Cruz,13184
70401,2020-07-03,Buena Vista,2,Santa Cruz,13184
70401,2020-07-05,Buena Vista,7,Santa Cruz,13184
70401,2020-07-07,Buena Vista,4,Santa Cruz,13184
70401,2020-07-08,Buena Vista,1,Santa Cruz,13184
70401,2020-07-10,Buena Vista,1,Santa Cruz,13184
70401,2020-07-14,Buena Vista,11,Santa Cruz,13184
70401,2020-07-19,Buena Vista,1,Santa Cruz,13184
70401,2020-07-20,Buena Vista,6,Santa Cruz,13184
70401,2020-07-21,Buena Vista,11,Santa Cruz,13184
70401,2020-07-22,Buena Vista,1,Santa Cruz,13184
70401,2020-07-24,Buena Vista,2,Santa Cruz,13184
70401,2020-07-25,Buena Vista,2,Santa Cruz,13184
70401,2020-07-28,Buena Vista,3,Santa Cruz,13184
70401,2020-07-29,Buena Vista,5,Santa Cruz,13184
70401,2020-07-30,Buena Vista,4,Santa Cruz,13184
70401,2020-07-31,Buena Vista,1,Santa Cruz,13184
70401,2020-08-01,Buena Vista,2,Santa Cruz,13184
70401,2020-08-03,Buena Vista,7,Santa Cruz,13184
70401,2020-08-05,Buena Vista,4,Santa Cruz,13184
70401,2020-08-06,Buena Vista,1,Santa Cruz,13184
70401,2020-08-08,Buena Vista,4,Santa Cruz,13184
70401,2020-08-10,Buena Vista,1,Santa Cruz,13184
70401,2020-08-14,Buena Vista,1,Santa Cruz,13184
70401,2020-08-15,Buena Vista,1,Santa Cruz,13184
70401,2020-08-24,Buena Vista,1,Santa Cruz,13184
70401,2020-08-26,Buena Vista,1,Santa Cruz,13184
70401,2020-08-31,Buena Vista,1,Santa Cruz,13184
70401,2020-09-04,Buena Vista,1,Santa Cruz,13184
70401,2020-09-11,Buena Vista,1,Santa Cruz,13184
70401,2020-12-07,Buena Vista,1,Santa Cruz,13184
70401,2021-01-10,Buena Vista,5,Santa Cruz,13184
70401,2021-01-16,Buena Vista,5,Santa Cruz,13184
70401,2021-01-21,Buena Vista,2,Santa Cruz,13184
70401,2021-01-25,Buena Vista,1,Santa Cruz,13184
70401,2021-01-26,Buena Vista,3,Santa Cruz,13184
70401,2021-01-27,Buena Vista,1,Santa Cruz,13184
70401,2021-02-01,Buena Vista,3,Santa Cruz,13184
70401,2021-02-02,Buena Vista,1,Santa Cruz,13184
70401,2021-02-03,Buena Vista,2,Santa Cruz,13184
70401,2021-02-04,Buena Vista,1,Santa Cruz,13184
70401,2021-02-05,Buena Vista,3,Santa Cruz,13184
70401,2021-04-12,Buena Vista,19,Santa Cruz,13184
70401,2021-04-14,Buena Vista,5,Santa Cruz,13184
70401,2021-04-15,Buena Vista,1,Santa Cruz,13184
70401,2021-05-06,Buena Vista,1,Santa Cruz,13184
70401,2021-05-11,Buena Vista,1,Santa Cruz,13184
70401,2021-05-15,Buena Vista,1,Santa Cruz,13184
70401,2021-05-20,Buena Vista,4,Santa Cruz,13184
70401,2021-05-25,Buena Vista,10,Santa Cruz,13184
70401,2021-05-26,Buena Vista,1,Santa Cruz,13184
70401,2021-05-31,Buena Vista,9,Santa Cruz,13184
70401,2021-06-01,Buena Vista,3,Santa Cruz,13184
70401,2021-06-02,Buena Vista,2,Santa Cruz,13184
70401,2021-06-04,Buena Vista,3,Santa Cruz,13184
70401,2021-06-05,Buena Vista,1,Santa Cruz,13184
70401,2021-06-07,Buena Vista,6,Santa Cruz,13184
70401,2021-06-08,Buena Vista,5,Santa Cruz,13184
70401,2021-06-11,Buena Vista,2,Santa Cruz,13184
70401,2021-06-15,Buena Vista,1,Santa Cruz,13184
70401,2021-06-16,Buena Vista,2,Santa Cruz,13184
70401,2021-06-17,Buena Vista,2,Santa Cruz,13184
70401,2021-06-18,Buena Vista,2,Santa Cruz,13184
70401,2021-06-22,Buena Vista,1,Santa Cruz,13184
70401,2021-06-23,Buena Vista,1,Santa Cruz,13184
70401,2021-06-24,Buena Vista,2,Santa Cruz,13184
70401,2021-06-29,Buena Vista,1,Santa Cruz,13184
70401,2021-07-02,Buena Vista,1,Santa Cruz,13184
70401,2021-07-03,Buena Vista,2,Santa Cruz,13184
70401,2021-07-05,Buena Vista,5,Santa Cruz,13184
70401,2021-07-06,Buena Vista,3,Santa Cruz,13184
70401,2021-07-08,Buena Vista,1,Santa Cruz,13184
70401,2021-07-09,Buena Vista,2,Santa Cruz,13184
70401,2021-07-12,Buena Vista,1,Santa Cruz,13184
70401,2021-07-13,Buena Vista,1,Santa Cruz,13184
70401,2021-07-15,Buena Vista,4,Santa Cruz,13184
70401,2021-07-21,Buena Vista,4,Santa Cruz,13184
70401,2021-07-27,Buena Vista,2,Santa Cruz,13184
70401,2021-08-09,Buena Vista,1,Santa Cruz,13184
70401,2021-08-12,Buena Vista,1,Santa Cruz,13184
70401,2021-10-13,Buena Vista,1,Santa Cruz,13184
70401,2021-10-20,Buena Vista,1,Santa Cruz,13184
70401,2021-10-22,Buena Vista,1,Santa Cruz,13184
70401,2021-10-27,Buena Vista,1,Santa Cruz,13184
70401,2021-10-29,Buena Vista,1,Santa Cruz,13184
70401,2021-11-03,Buena Vista,1,Santa Cruz,13184
70401,2021-11-05,Buena Vista,1,Santa Cruz,13184
70401,2021-11-08,Buena Vista,1,Santa Cruz,13184
70401,2021-11-09,Buena Vista,8,Santa Cruz,13184
70401,2021-11-10,Buena Vista,5,Santa Cruz,13184
70401,2021-11-11,Buena Vista,10,Santa Cruz,13184
70401,2021-11-12,Buena Vista,12,Santa Cruz,13184
70401,2021-11-15,Buena Vista,6,Santa Cruz,13184
70401,2021-11-16,Buena Vista,11,Santa Cruz,13184
70401,2021-11-18,Buena Vista,1,Santa Cruz,13184
70401,2021-11-22,Buena Vista,1,Santa Cruz,13184
70401,2021-11-23,Buena Vista,5,Santa Cruz,13184
70401,2021-11-24,Buena Vista,11,Santa Cruz,13184
70401,2021-11-25,Buena Vista,5,Santa Cruz,13184
70401,2021-11-26,Buena Vista,1,Santa Cruz,13184
70401,2021-11-29,Buena Vista,5,Santa Cruz,13184
70401,2021-11-30,Buena Vista,6,Santa Cruz,13184
70401,2021-12-01,Buena Vista,1,Santa Cruz,13184
70401,2021-12-02,Buena Vista,11,Santa Cruz,13184
70401,2021-12-03,Buena Vista,3,Santa Cruz,13184
70401,2021-12-06,Buena Vista,7,Santa Cruz,13184
70401,2021-12-07,Buena Vista,14,Santa Cruz,13184
70401,2021-12-08,Buena Vista,6,Santa Cruz,13184
70401,2021-12-09,Buena Vista,8,Santa Cruz,13184
70401,2021-12-10,Buena Vista,14,Santa Cruz,13184
70401,2021-12-13,Buena Vista,7,Santa Cruz,13184
70401,2021-12-14,Buena Vista,13,Santa Cruz,13184
70401,2021-12-15,Buena Vista,9,Santa Cruz,13184
70401,2021-12-16,Buena Vista,10,Santa Cruz,13184
70401,2021-12-17,Buena Vista,5,Santa Cruz,13184
70401,2021-12-20,Buena Vista,5,Santa Cruz,13184
70401,2021-12-21,Buena Vista,4,Santa Cruz,13184
