cod_ine,fecha,municipio,confirmados,departamento,poblacion
90101,2020-03-28,Cobija,1,Pando,78555
90101,2020-04-01,Cobija,3,Pando,78555
90101,2020-04-02,Cobija,2,Pando,78555
90101,2020-04-07,Cobija,4,Pando,78555
90101,2020-04-11,Cobija,1,Pando,78555
90101,2020-04-17,Cobija,1,Pando,78555
90101,2020-05-24,Cobija,1,Pando,78555
90101,2020-05-29,Cobija,1,Pando,78555
90101,2020-06-03,Cobija,8,Pando,78555
90101,2020-06-06,Cobija,24,Pando,78555
90101,2020-06-07,Cobija,17,Pando,78555
90101,2020-06-09,Cobija,28,Pando,78555
90101,2020-06-10,Cobija,36,Pando,78555
90101,2020-06-11,Cobija,43,Pando,78555
90101,2020-06-12,Cobija,44,Pando,78555
90101,2020-06-13,Cobija,29,Pando,78555
90101,2020-06-14,Cobija,19,Pando,78555
90101,2020-06-15,Cobija,21,Pando,78555
90101,2020-06-16,Cobija,8,Pando,78555
90101,2020-06-17,Cobija,71,Pando,78555
90101,2020-06-18,Cobija,14,Pando,78555
90101,2020-06-19,Cobija,16,Pando,78555
90101,2020-06-20,Cobija,39,Pando,78555
90101,2020-06-21,Cobija,6,Pando,78555
90101,2020-06-22,Cobija,14,Pando,78555
90101,2020-06-23,Cobija,7,Pando,78555
90101,2020-06-24,Cobija,2,Pando,78555
90101,2020-06-25,Cobija,1,Pando,78555
90101,2020-06-26,Cobija,49,Pando,78555
90101,2020-06-27,Cobija,3,Pando,78555
90101,2020-06-29,Cobija,1,Pando,78555
90101,2020-07-01,Cobija,68,Pando,78555
90101,2020-07-02,Cobija,63,Pando,78555
90101,2020-07-03,Cobija,4,Pando,78555
90101,2020-07-04,Cobija,86,Pando,78555
90101,2020-07-05,Cobija,118,Pando,78555
90101,2020-07-06,Cobija,71,Pando,78555
90101,2020-07-12,Cobija,18,Pando,78555
90101,2020-07-17,Cobija,8,Pando,78555
90101,2020-07-18,Cobija,117,Pando,78555
90101,2020-07-19,Cobija,22,Pando,78555
90101,2020-07-20,Cobija,8,Pando,78555
90101,2020-07-21,Cobija,1,Pando,78555
90101,2020-07-22,Cobija,55,Pando,78555
90101,2020-07-23,Cobija,10,Pando,78555
90101,2020-07-24,Cobija,45,Pando,78555
90101,2020-07-25,Cobija,3,Pando,78555
90101,2020-07-26,Cobija,2,Pando,78555
90101,2020-07-28,Cobija,1,Pando,78555
90101,2020-07-29,Cobija,16,Pando,78555
90101,2020-07-30,Cobija,9,Pando,78555
90101,2020-07-31,Cobija,10,Pando,78555
90101,2020-08-01,Cobija,6,Pando,78555
90101,2020-08-03,Cobija,3,Pando,78555
90101,2020-08-04,Cobija,16,Pando,78555
90101,2020-08-05,Cobija,13,Pando,78555
90101,2020-08-06,Cobija,4,Pando,78555
90101,2020-08-07,Cobija,21,Pando,78555
90101,2020-08-08,Cobija,32,Pando,78555
90101,2020-08-09,Cobija,16,Pando,78555
90101,2020-08-10,Cobija,26,Pando,78555
90101,2020-08-11,Cobija,25,Pando,78555
90101,2020-08-12,Cobija,22,Pando,78555
90101,2020-08-13,Cobija,8,Pando,78555
90101,2020-08-14,Cobija,37,Pando,78555
90101,2020-08-15,Cobija,33,Pando,78555
90101,2020-08-16,Cobija,35,Pando,78555
90101,2020-08-17,Cobija,9,Pando,78555
90101,2020-08-18,Cobija,30,Pando,78555
90101,2020-08-19,Cobija,13,Pando,78555
90101,2020-08-20,Cobija,2,Pando,78555
90101,2020-08-21,Cobija,45,Pando,78555
90101,2020-08-22,Cobija,14,Pando,78555
90101,2020-08-23,Cobija,2,Pando,78555
90101,2020-08-24,Cobija,9,Pando,78555
90101,2020-08-25,Cobija,19,Pando,78555
90101,2020-08-26,Cobija,14,Pando,78555
90101,2020-09-06,Cobija,3,Pando,78555
90101,2020-09-07,Cobija,1,Pando,78555
90101,2020-09-22,Cobija,1,Pando,78555
90101,2020-09-24,Cobija,1,Pando,78555
90101,2020-09-27,Cobija,1,Pando,78555
90101,2020-09-28,Cobija,1,Pando,78555
90101,2020-09-29,Cobija,1,Pando,78555
90101,2020-09-30,Cobija,1,Pando,78555
90101,2020-10-01,Cobija,1,Pando,78555
90101,2020-10-06,Cobija,1,Pando,78555
90101,2020-10-14,Cobija,2,Pando,78555
90101,2020-10-25,Cobija,1,Pando,78555
90101,2020-10-29,Cobija,1,Pando,78555
90101,2020-10-30,Cobija,1,Pando,78555
90101,2020-11-03,Cobija,1,Pando,78555
90101,2020-11-04,Cobija,1,Pando,78555
90101,2020-11-05,Cobija,3,Pando,78555
90101,2020-11-06,Cobija,3,Pando,78555
90101,2020-11-11,Cobija,1,Pando,78555
90101,2020-11-13,Cobija,4,Pando,78555
90101,2020-11-14,Cobija,3,Pando,78555
90101,2020-11-17,Cobija,1,Pando,78555
90101,2020-11-19,Cobija,1,Pando,78555
90101,2020-11-25,Cobija,1,Pando,78555
90101,2020-11-26,Cobija,1,Pando,78555
90101,2020-11-27,Cobija,1,Pando,78555
90101,2020-11-28,Cobija,1,Pando,78555
90101,2020-11-30,Cobija,1,Pando,78555
90101,2020-12-01,Cobija,1,Pando,78555
90101,2020-12-02,Cobija,1,Pando,78555
90101,2020-12-04,Cobija,1,Pando,78555
90101,2020-12-05,Cobija,6,Pando,78555
90101,2020-12-09,Cobija,3,Pando,78555
90101,2020-12-10,Cobija,5,Pando,78555
90101,2020-12-11,Cobija,6,Pando,78555
90101,2020-12-12,Cobija,6,Pando,78555
90101,2020-12-13,Cobija,1,Pando,78555
90101,2020-12-14,Cobija,1,Pando,78555
90101,2020-12-15,Cobija,2,Pando,78555
90101,2020-12-16,Cobija,5,Pando,78555
90101,2020-12-17,Cobija,12,Pando,78555
90101,2020-12-18,Cobija,5,Pando,78555
90101,2020-12-19,Cobija,9,Pando,78555
90101,2020-12-20,Cobija,11,Pando,78555
90101,2020-12-21,Cobija,1,Pando,78555
90101,2020-12-22,Cobija,9,Pando,78555
90101,2020-12-23,Cobija,11,Pando,78555
90101,2020-12-24,Cobija,9,Pando,78555
90101,2020-12-25,Cobija,16,Pando,78555
90101,2020-12-26,Cobija,3,Pando,78555
90101,2020-12-27,Cobija,8,Pando,78555
90101,2020-12-28,Cobija,2,Pando,78555
90101,2020-12-29,Cobija,19,Pando,78555
90101,2020-12-30,Cobija,27,Pando,78555
90101,2020-12-31,Cobija,13,Pando,78555
90101,2021-01-01,Cobija,34,Pando,78555
90101,2021-01-02,Cobija,16,Pando,78555
90101,2021-01-03,Cobija,16,Pando,78555
90101,2021-01-04,Cobija,9,Pando,78555
90101,2021-01-05,Cobija,13,Pando,78555
90101,2021-01-06,Cobija,20,Pando,78555
90101,2021-01-07,Cobija,29,Pando,78555
90101,2021-01-08,Cobija,67,Pando,78555
90101,2021-01-09,Cobija,14,Pando,78555
90101,2021-01-10,Cobija,17,Pando,78555
90101,2021-01-11,Cobija,28,Pando,78555
90101,2021-01-12,Cobija,30,Pando,78555
90101,2021-01-13,Cobija,42,Pando,78555
90101,2021-01-14,Cobija,20,Pando,78555
90101,2021-01-15,Cobija,27,Pando,78555
90101,2021-01-16,Cobija,22,Pando,78555
90101,2021-01-17,Cobija,27,Pando,78555
90101,2021-01-18,Cobija,55,Pando,78555
90101,2021-01-19,Cobija,46,Pando,78555
90101,2021-01-20,Cobija,32,Pando,78555
90101,2021-01-21,Cobija,27,Pando,78555
90101,2021-01-22,Cobija,6,Pando,78555
90101,2021-01-23,Cobija,7,Pando,78555
90101,2021-01-24,Cobija,9,Pando,78555
90101,2021-01-25,Cobija,17,Pando,78555
90101,2021-01-26,Cobija,18,Pando,78555
90101,2021-01-27,Cobija,15,Pando,78555
90101,2021-01-28,Cobija,21,Pando,78555
90101,2021-01-29,Cobija,17,Pando,78555
90101,2021-01-30,Cobija,3,Pando,78555
90101,2021-01-31,Cobija,8,Pando,78555
90101,2021-02-01,Cobija,17,Pando,78555
90101,2021-02-02,Cobija,13,Pando,78555
90101,2021-02-03,Cobija,35,Pando,78555
90101,2021-02-04,Cobija,37,Pando,78555
90101,2021-02-05,Cobija,32,Pando,78555
90101,2021-02-06,Cobija,31,Pando,78555
90101,2021-02-07,Cobija,29,Pando,78555
90101,2021-02-08,Cobija,7,Pando,78555
90101,2021-02-09,Cobija,12,Pando,78555
90101,2021-02-10,Cobija,20,Pando,78555
90101,2021-02-11,Cobija,7,Pando,78555
90101,2021-02-12,Cobija,10,Pando,78555
90101,2021-02-13,Cobija,2,Pando,78555
90101,2021-02-14,Cobija,3,Pando,78555
90101,2021-02-16,Cobija,7,Pando,78555
