cod_ine,fecha,municipio,confirmados,departamento,poblacion
31002,2020-05-17,Colomi,1,Cochabamba,22514
31002,2020-05-25,Colomi,1,Cochabamba,22514
31002,2020-05-30,Colomi,1,Cochabamba,22514
31002,2020-06-05,Colomi,1,Cochabamba,22514
31002,2020-06-10,Colomi,1,Cochabamba,22514
31002,2020-06-16,Colomi,1,Cochabamba,22514
31002,2020-06-17,Colomi,2,Cochabamba,22514
31002,2020-06-20,Colomi,1,Cochabamba,22514
31002,2020-06-21,Colomi,1,Cochabamba,22514
31002,2020-07-05,Colomi,1,Cochabamba,22514
31002,2020-07-06,Colomi,2,Cochabamba,22514
31002,2020-07-08,Colomi,1,Cochabamba,22514
31002,2020-07-18,Colomi,3,Cochabamba,22514
31002,2020-07-21,Colomi,1,Cochabamba,22514
31002,2020-07-23,Colomi,1,Cochabamba,22514
31002,2020-07-26,Colomi,1,Cochabamba,22514
31002,2020-07-27,Colomi,1,Cochabamba,22514
31002,2020-07-28,Colomi,5,Cochabamba,22514
31002,2020-07-31,Colomi,6,Cochabamba,22514
31002,2020-08-12,Colomi,1,Cochabamba,22514
31002,2020-08-18,Colomi,2,Cochabamba,22514
31002,2020-08-20,Colomi,1,Cochabamba,22514
31002,2020-08-24,Colomi,1,Cochabamba,22514
31002,2020-08-25,Colomi,1,Cochabamba,22514
31002,2021-01-20,Colomi,1,Cochabamba,22514
31002,2021-01-21,Colomi,1,Cochabamba,22514
31002,2021-01-29,Colomi,1,Cochabamba,22514
31002,2021-02-06,Colomi,2,Cochabamba,22514
31002,2021-02-23,Colomi,2,Cochabamba,22514
31002,2021-02-25,Colomi,2,Cochabamba,22514
31002,2021-02-27,Colomi,2,Cochabamba,22514
31002,2021-02-28,Colomi,2,Cochabamba,22514
31002,2021-03-06,Colomi,4,Cochabamba,22514
31002,2021-03-17,Colomi,1,Cochabamba,22514
31002,2021-03-19,Colomi,2,Cochabamba,22514
31002,2021-03-21,Colomi,1,Cochabamba,22514
31002,2021-03-22,Colomi,1,Cochabamba,22514
31002,2021-03-26,Colomi,1,Cochabamba,22514
31002,2021-03-28,Colomi,1,Cochabamba,22514
31002,2021-04-07,Colomi,1,Cochabamba,22514
31002,2021-04-10,Colomi,2,Cochabamba,22514
31002,2021-04-12,Colomi,1,Cochabamba,22514
31002,2021-04-14,Colomi,1,Cochabamba,22514
31002,2021-04-15,Colomi,1,Cochabamba,22514
31002,2021-04-17,Colomi,1,Cochabamba,22514
31002,2021-04-21,Colomi,1,Cochabamba,22514
31002,2021-04-22,Colomi,1,Cochabamba,22514
31002,2021-04-24,Colomi,3,Cochabamba,22514
31002,2021-04-26,Colomi,1,Cochabamba,22514
31002,2021-04-27,Colomi,3,Cochabamba,22514
31002,2021-04-28,Colomi,5,Cochabamba,22514
31002,2021-04-29,Colomi,1,Cochabamba,22514
31002,2021-04-30,Colomi,2,Cochabamba,22514
31002,2021-05-03,Colomi,2,Cochabamba,22514
31002,2021-05-05,Colomi,2,Cochabamba,22514
31002,2021-05-06,Colomi,2,Cochabamba,22514
31002,2021-05-07,Colomi,7,Cochabamba,22514
31002,2021-05-08,Colomi,1,Cochabamba,22514
31002,2021-05-10,Colomi,5,Cochabamba,22514
31002,2021-05-11,Colomi,4,Cochabamba,22514
31002,2021-05-12,Colomi,3,Cochabamba,22514
31002,2021-05-13,Colomi,6,Cochabamba,22514
31002,2021-05-14,Colomi,2,Cochabamba,22514
31002,2021-05-15,Colomi,1,Cochabamba,22514
31002,2021-05-17,Colomi,3,Cochabamba,22514
31002,2021-05-18,Colomi,3,Cochabamba,22514
31002,2021-05-19,Colomi,2,Cochabamba,22514
31002,2021-05-20,Colomi,1,Cochabamba,22514
31002,2021-05-21,Colomi,6,Cochabamba,22514
31002,2021-05-24,Colomi,1,Cochabamba,22514
31002,2021-05-25,Colomi,2,Cochabamba,22514
31002,2021-05-26,Colomi,3,Cochabamba,22514
31002,2021-05-27,Colomi,3,Cochabamba,22514
31002,2021-05-28,Colomi,5,Cochabamba,22514
31002,2021-05-29,Colomi,2,Cochabamba,22514
31002,2021-05-31,Colomi,3,Cochabamba,22514
31002,2021-06-01,Colomi,3,Cochabamba,22514
31002,2021-06-02,Colomi,2,Cochabamba,22514
31002,2021-06-04,Colomi,7,Cochabamba,22514
31002,2021-06-06,Colomi,2,Cochabamba,22514
31002,2021-06-07,Colomi,3,Cochabamba,22514
31002,2021-06-08,Colomi,9,Cochabamba,22514
31002,2021-06-09,Colomi,4,Cochabamba,22514
31002,2021-06-11,Colomi,3,Cochabamba,22514
31002,2021-06-12,Colomi,2,Cochabamba,22514
31002,2021-06-14,Colomi,5,Cochabamba,22514
31002,2021-06-15,Colomi,9,Cochabamba,22514
31002,2021-06-17,Colomi,9,Cochabamba,22514
31002,2021-06-18,Colomi,2,Cochabamba,22514
31002,2021-06-20,Colomi,3,Cochabamba,22514
31002,2021-06-21,Colomi,3,Cochabamba,22514
31002,2021-06-22,Colomi,2,Cochabamba,22514
31002,2021-06-26,Colomi,2,Cochabamba,22514
31002,2021-06-27,Colomi,3,Cochabamba,22514
31002,2021-06-28,Colomi,5,Cochabamba,22514
31002,2021-06-29,Colomi,2,Cochabamba,22514
31002,2021-06-30,Colomi,3,Cochabamba,22514
31002,2021-07-02,Colomi,9,Cochabamba,22514
31002,2021-07-03,Colomi,5,Cochabamba,22514
31002,2021-07-06,Colomi,2,Cochabamba,22514
31002,2021-07-07,Colomi,1,Cochabamba,22514
31002,2021-07-08,Colomi,1,Cochabamba,22514
31002,2021-07-09,Colomi,1,Cochabamba,22514
31002,2021-07-10,Colomi,1,Cochabamba,22514
31002,2021-07-11,Colomi,1,Cochabamba,22514
31002,2021-07-14,Colomi,3,Cochabamba,22514
31002,2021-07-15,Colomi,4,Cochabamba,22514
31002,2021-07-16,Colomi,1,Cochabamba,22514
31002,2021-07-19,Colomi,1,Cochabamba,22514
31002,2021-07-22,Colomi,1,Cochabamba,22514
31002,2021-07-27,Colomi,1,Cochabamba,22514
31002,2021-07-29,Colomi,1,Cochabamba,22514
31002,2021-07-31,Colomi,1,Cochabamba,22514
31002,2021-08-05,Colomi,2,Cochabamba,22514
31002,2021-08-08,Colomi,1,Cochabamba,22514
31002,2021-08-16,Colomi,1,Cochabamba,22514
31002,2021-08-19,Colomi,1,Cochabamba,22514
31002,2021-08-24,Colomi,1,Cochabamba,22514
31002,2021-09-17,Colomi,1,Cochabamba,22514
31002,2021-09-20,Colomi,1,Cochabamba,22514
31002,2021-10-01,Colomi,1,Cochabamba,22514
31002,2021-10-07,Colomi,1,Cochabamba,22514
31002,2021-10-22,Colomi,3,Cochabamba,22514
31002,2021-11-03,Colomi,1,Cochabamba,22514
31002,2021-11-05,Colomi,1,Cochabamba,22514
31002,2021-11-10,Colomi,2,Cochabamba,22514
31002,2021-11-15,Colomi,1,Cochabamba,22514
31002,2021-11-17,Colomi,2,Cochabamba,22514
31002,2021-11-18,Colomi,1,Cochabamba,22514
31002,2021-11-20,Colomi,1,Cochabamba,22514
31002,2021-11-22,Colomi,8,Cochabamba,22514
31002,2021-11-23,Colomi,4,Cochabamba,22514
31002,2021-11-26,Colomi,7,Cochabamba,22514
31002,2021-11-27,Colomi,3,Cochabamba,22514
31002,2021-11-30,Colomi,2,Cochabamba,22514
31002,2021-12-01,Colomi,1,Cochabamba,22514
31002,2021-12-02,Colomi,5,Cochabamba,22514
31002,2021-12-03,Colomi,7,Cochabamba,22514
31002,2021-12-04,Colomi,1,Cochabamba,22514
31002,2021-12-08,Colomi,4,Cochabamba,22514
31002,2021-12-10,Colomi,1,Cochabamba,22514
31002,2021-12-12,Colomi,1,Cochabamba,22514
31002,2021-12-13,Colomi,1,Cochabamba,22514
31002,2021-12-15,Colomi,1,Cochabamba,22514
31002,2021-12-16,Colomi,2,Cochabamba,22514
31002,2021-12-19,Colomi,3,Cochabamba,22514
31002,2021-12-20,Colomi,1,Cochabamba,22514
31002,2021-12-21,Colomi,1,Cochabamba,22514
31002,2021-12-23,Colomi,1,Cochabamba,22514
