cod_ine,fecha,municipio,confirmados,departamento,poblacion
21306,2020-08-02,Colquencha,1,La Paz,10674
21306,2020-08-04,Colquencha,1,La Paz,10674
21306,2020-08-09,Colquencha,2,La Paz,10674
21306,2021-01-10,Colquencha,1,La Paz,10674
21306,2021-01-16,Colquencha,1,La Paz,10674
21306,2021-01-23,Colquencha,1,La Paz,10674
21306,2021-02-04,Colquencha,1,La Paz,10674
21306,2021-02-08,Colquencha,1,La Paz,10674
21306,2021-02-12,Colquencha,1,La Paz,10674
21306,2021-03-24,Colquencha,1,La Paz,10674
21306,2021-06-09,Colquencha,1,La Paz,10674
21306,2021-06-16,Colquencha,1,La Paz,10674
21306,2021-06-25,Colquencha,1,La Paz,10674
21306,2021-07-06,Colquencha,1,La Paz,10674
21306,2021-07-29,Colquencha,1,La Paz,10674
21306,2021-09-11,Colquencha,5,La Paz,10674
21306,2021-09-16,Colquencha,1,La Paz,10674
21306,2021-09-29,Colquencha,1,La Paz,10674
21306,2021-12-20,Colquencha,1,La Paz,10674
