municipio_x,fecha,cod_ine,confirmados,municipio_y,departamento,sdi,poblacion,urbanizacion
Entre Ríos,2020-05-14,31206,1,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-05-17,31206,1,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-05-18,31206,1,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-05-19,31206,2,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-05-20,31206,1,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-05-23,31206,3,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-05-25,31206,7,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-05-27,31206,9,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-05-28,31206,15,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-05-31,31206,17,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-02,31206,33,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-03,31206,2,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-04,31206,17,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-05,31206,1,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-08,31206,1,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-09,31206,26,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-10,31206,8,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-11,31206,2,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-12,31206,1,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-13,31206,8,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-14,31206,28,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-15,31206,13,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-17,31206,9,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-18,31206,2,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-19,31206,13,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-20,31206,2,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-21,31206,14,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-22,31206,4,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-23,31206,12,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-24,31206,6,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-26,31206,15,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-27,31206,3,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-06-30,31206,2,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-07-01,31206,5,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-07-02,31206,1,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-07-03,31206,20,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-07-04,31206,4,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-07-06,31206,1,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-07-08,31206,2,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-07-10,31206,1,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-07-12,31206,9,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-07-15,31206,3,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-07-16,31206,1,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-07-18,31206,15,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-07-21,31206,5,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-07-23,31206,14,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-07-24,31206,1,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-07-28,31206,10,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-07-31,31206,13,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-08-02,31206,5,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-08-09,31206,2,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2020-08-11,31206,5,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2021-01-18,31206,3,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2021-01-24,31206,3,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2021-01-26,31206,12,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2021-01-28,31206,1,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2021-02-12,31206,1,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2021-02-22,31206,1,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
Entre Ríos,2021-03-07,31206,2,Entre Ríos,Cochabamba,54.683183934130405,36351,44.2
