municipio_x,fecha,cod_ine,confirmados,municipio_y,departamento,sdi,poblacion,urbanizacion
Escoma,2020-07-02,20405,2,Escoma,La Paz,46.229938567275894,7168,0.0
Escoma,2020-07-10,20405,1,Escoma,La Paz,46.229938567275894,7168,0.0
Escoma,2021-01-23,20405,1,Escoma,La Paz,46.229938567275894,7168,0.0
Escoma,2021-02-24,20405,1,Escoma,La Paz,46.229938567275894,7168,0.0
Escoma,2021-03-04,20405,2,Escoma,La Paz,46.229938567275894,7168,0.0
Escoma,2021-05-16,20405,1,Escoma,La Paz,46.229938567275894,7168,0.0
Escoma,2021-05-23,20405,1,Escoma,La Paz,46.229938567275894,7168,0.0
Escoma,2021-07-11,20405,2,Escoma,La Paz,46.229938567275894,7168,0.0
Escoma,2021-07-15,20405,1,Escoma,La Paz,46.229938567275894,7168,0.0
Escoma,2021-07-16,20405,2,Escoma,La Paz,46.229938567275894,7168,0.0
Escoma,2021-08-19,20405,1,Escoma,La Paz,46.229938567275894,7168,0.0
Escoma,2021-08-31,20405,2,Escoma,La Paz,46.229938567275894,7168,0.0
Escoma,2021-09-05,20405,2,Escoma,La Paz,46.229938567275894,7168,0.0
