cod_ine,fecha,municipio,confirmados,departamento,poblacion
71004,2020-05-07,Fernández Alonso,1,Santa Cruz,19808
71004,2020-05-11,Fernández Alonso,9,Santa Cruz,19808
71004,2020-05-12,Fernández Alonso,1,Santa Cruz,19808
71004,2020-05-13,Fernández Alonso,3,Santa Cruz,19808
71004,2020-05-16,Fernández Alonso,9,Santa Cruz,19808
71004,2020-05-17,Fernández Alonso,3,Santa Cruz,19808
71004,2020-05-18,Fernández Alonso,1,Santa Cruz,19808
71004,2020-05-20,Fernández Alonso,4,Santa Cruz,19808
71004,2020-05-25,Fernández Alonso,5,Santa Cruz,19808
71004,2020-05-26,Fernández Alonso,1,Santa Cruz,19808
71004,2020-05-27,Fernández Alonso,6,Santa Cruz,19808
71004,2020-05-28,Fernández Alonso,1,Santa Cruz,19808
71004,2020-05-30,Fernández Alonso,5,Santa Cruz,19808
71004,2020-06-02,Fernández Alonso,1,Santa Cruz,19808
71004,2020-06-03,Fernández Alonso,21,Santa Cruz,19808
71004,2020-06-04,Fernández Alonso,2,Santa Cruz,19808
71004,2020-06-11,Fernández Alonso,1,Santa Cruz,19808
71004,2020-06-12,Fernández Alonso,1,Santa Cruz,19808
71004,2020-06-20,Fernández Alonso,1,Santa Cruz,19808
71004,2020-06-21,Fernández Alonso,7,Santa Cruz,19808
71004,2020-06-24,Fernández Alonso,3,Santa Cruz,19808
71004,2020-06-25,Fernández Alonso,1,Santa Cruz,19808
71004,2020-06-28,Fernández Alonso,1,Santa Cruz,19808
71004,2020-06-29,Fernández Alonso,1,Santa Cruz,19808
71004,2020-07-02,Fernández Alonso,1,Santa Cruz,19808
71004,2020-07-03,Fernández Alonso,2,Santa Cruz,19808
71004,2020-07-06,Fernández Alonso,6,Santa Cruz,19808
71004,2020-07-07,Fernández Alonso,1,Santa Cruz,19808
71004,2020-07-08,Fernández Alonso,14,Santa Cruz,19808
71004,2020-07-09,Fernández Alonso,1,Santa Cruz,19808
71004,2020-07-10,Fernández Alonso,3,Santa Cruz,19808
71004,2020-07-12,Fernández Alonso,6,Santa Cruz,19808
71004,2020-07-14,Fernández Alonso,5,Santa Cruz,19808
71004,2020-07-15,Fernández Alonso,5,Santa Cruz,19808
71004,2020-07-16,Fernández Alonso,19,Santa Cruz,19808
71004,2020-07-17,Fernández Alonso,3,Santa Cruz,19808
71004,2020-07-20,Fernández Alonso,4,Santa Cruz,19808
71004,2020-07-21,Fernández Alonso,4,Santa Cruz,19808
71004,2020-07-23,Fernández Alonso,3,Santa Cruz,19808
71004,2020-07-24,Fernández Alonso,1,Santa Cruz,19808
71004,2020-07-29,Fernández Alonso,2,Santa Cruz,19808
71004,2020-08-02,Fernández Alonso,5,Santa Cruz,19808
71004,2020-08-06,Fernández Alonso,6,Santa Cruz,19808
71004,2020-08-07,Fernández Alonso,3,Santa Cruz,19808
71004,2020-08-08,Fernández Alonso,4,Santa Cruz,19808
71004,2020-08-11,Fernández Alonso,2,Santa Cruz,19808
71004,2020-08-14,Fernández Alonso,3,Santa Cruz,19808
71004,2020-08-15,Fernández Alonso,3,Santa Cruz,19808
71004,2020-08-19,Fernández Alonso,1,Santa Cruz,19808
71004,2020-08-21,Fernández Alonso,3,Santa Cruz,19808
71004,2020-08-25,Fernández Alonso,1,Santa Cruz,19808
71004,2020-08-28,Fernández Alonso,8,Santa Cruz,19808
71004,2020-09-04,Fernández Alonso,3,Santa Cruz,19808
71004,2020-09-09,Fernández Alonso,1,Santa Cruz,19808
71004,2021-01-06,Fernández Alonso,4,Santa Cruz,19808
71004,2021-01-12,Fernández Alonso,8,Santa Cruz,19808
71004,2021-01-13,Fernández Alonso,1,Santa Cruz,19808
71004,2021-01-14,Fernández Alonso,1,Santa Cruz,19808
71004,2021-01-15,Fernández Alonso,6,Santa Cruz,19808
71004,2021-01-16,Fernández Alonso,6,Santa Cruz,19808
71004,2021-01-17,Fernández Alonso,3,Santa Cruz,19808
71004,2021-01-19,Fernández Alonso,8,Santa Cruz,19808
71004,2021-01-23,Fernández Alonso,2,Santa Cruz,19808
71004,2021-01-25,Fernández Alonso,9,Santa Cruz,19808
71004,2021-01-28,Fernández Alonso,3,Santa Cruz,19808
71004,2021-02-01,Fernández Alonso,2,Santa Cruz,19808
71004,2021-02-02,Fernández Alonso,1,Santa Cruz,19808
71004,2021-02-03,Fernández Alonso,3,Santa Cruz,19808
71004,2021-02-04,Fernández Alonso,2,Santa Cruz,19808
71004,2021-02-05,Fernández Alonso,4,Santa Cruz,19808
71004,2021-02-08,Fernández Alonso,3,Santa Cruz,19808
71004,2021-02-09,Fernández Alonso,1,Santa Cruz,19808
71004,2021-02-10,Fernández Alonso,1,Santa Cruz,19808
71004,2021-02-13,Fernández Alonso,1,Santa Cruz,19808
71004,2021-02-14,Fernández Alonso,3,Santa Cruz,19808
71004,2021-02-17,Fernández Alonso,1,Santa Cruz,19808
71004,2021-02-24,Fernández Alonso,1,Santa Cruz,19808
71004,2021-02-25,Fernández Alonso,4,Santa Cruz,19808
71004,2021-03-04,Fernández Alonso,1,Santa Cruz,19808
71004,2021-03-17,Fernández Alonso,2,Santa Cruz,19808
71004,2021-03-29,Fernández Alonso,1,Santa Cruz,19808
71004,2021-03-30,Fernández Alonso,1,Santa Cruz,19808
71004,2021-04-02,Fernández Alonso,2,Santa Cruz,19808
71004,2021-04-05,Fernández Alonso,1,Santa Cruz,19808
71004,2021-04-06,Fernández Alonso,1,Santa Cruz,19808
71004,2021-04-07,Fernández Alonso,1,Santa Cruz,19808
71004,2021-04-12,Fernández Alonso,1,Santa Cruz,19808
71004,2021-04-16,Fernández Alonso,1,Santa Cruz,19808
71004,2021-04-24,Fernández Alonso,1,Santa Cruz,19808
71004,2021-04-26,Fernández Alonso,1,Santa Cruz,19808
71004,2021-04-30,Fernández Alonso,1,Santa Cruz,19808
71004,2021-05-14,Fernández Alonso,2,Santa Cruz,19808
71004,2021-05-18,Fernández Alonso,1,Santa Cruz,19808
71004,2021-05-21,Fernández Alonso,2,Santa Cruz,19808
71004,2021-05-23,Fernández Alonso,2,Santa Cruz,19808
71004,2021-05-24,Fernández Alonso,7,Santa Cruz,19808
71004,2021-05-25,Fernández Alonso,2,Santa Cruz,19808
71004,2021-05-26,Fernández Alonso,1,Santa Cruz,19808
71004,2021-05-29,Fernández Alonso,5,Santa Cruz,19808
71004,2021-06-02,Fernández Alonso,6,Santa Cruz,19808
71004,2021-06-04,Fernández Alonso,7,Santa Cruz,19808
71004,2021-06-05,Fernández Alonso,2,Santa Cruz,19808
71004,2021-06-07,Fernández Alonso,1,Santa Cruz,19808
71004,2021-06-08,Fernández Alonso,7,Santa Cruz,19808
71004,2021-06-09,Fernández Alonso,3,Santa Cruz,19808
71004,2021-06-10,Fernández Alonso,1,Santa Cruz,19808
71004,2021-06-13,Fernández Alonso,4,Santa Cruz,19808
71004,2021-06-15,Fernández Alonso,2,Santa Cruz,19808
71004,2021-06-16,Fernández Alonso,7,Santa Cruz,19808
71004,2021-06-18,Fernández Alonso,1,Santa Cruz,19808
71004,2021-06-23,Fernández Alonso,1,Santa Cruz,19808
71004,2021-06-24,Fernández Alonso,1,Santa Cruz,19808
71004,2021-06-29,Fernández Alonso,2,Santa Cruz,19808
71004,2021-07-02,Fernández Alonso,1,Santa Cruz,19808
71004,2021-07-06,Fernández Alonso,2,Santa Cruz,19808
71004,2021-07-07,Fernández Alonso,2,Santa Cruz,19808
71004,2021-07-12,Fernández Alonso,4,Santa Cruz,19808
71004,2021-07-15,Fernández Alonso,2,Santa Cruz,19808
71004,2021-07-21,Fernández Alonso,1,Santa Cruz,19808
71004,2021-07-22,Fernández Alonso,1,Santa Cruz,19808
71004,2021-07-23,Fernández Alonso,1,Santa Cruz,19808
71004,2021-07-26,Fernández Alonso,1,Santa Cruz,19808
71004,2021-08-05,Fernández Alonso,1,Santa Cruz,19808
71004,2021-08-19,Fernández Alonso,1,Santa Cruz,19808
71004,2021-08-24,Fernández Alonso,1,Santa Cruz,19808
71004,2021-08-27,Fernández Alonso,1,Santa Cruz,19808
71004,2021-08-30,Fernández Alonso,3,Santa Cruz,19808
71004,2021-09-01,Fernández Alonso,1,Santa Cruz,19808
71004,2021-09-03,Fernández Alonso,1,Santa Cruz,19808
71004,2021-10-11,Fernández Alonso,1,Santa Cruz,19808
71004,2021-10-21,Fernández Alonso,1,Santa Cruz,19808
71004,2021-10-26,Fernández Alonso,3,Santa Cruz,19808
71004,2021-10-27,Fernández Alonso,1,Santa Cruz,19808
71004,2021-10-28,Fernández Alonso,2,Santa Cruz,19808
71004,2021-10-29,Fernández Alonso,4,Santa Cruz,19808
71004,2021-11-01,Fernández Alonso,1,Santa Cruz,19808
71004,2021-11-02,Fernández Alonso,1,Santa Cruz,19808
71004,2021-11-03,Fernández Alonso,3,Santa Cruz,19808
71004,2021-11-05,Fernández Alonso,3,Santa Cruz,19808
71004,2021-11-06,Fernández Alonso,2,Santa Cruz,19808
71004,2021-11-09,Fernández Alonso,4,Santa Cruz,19808
71004,2021-11-10,Fernández Alonso,1,Santa Cruz,19808
71004,2021-11-11,Fernández Alonso,1,Santa Cruz,19808
71004,2021-11-12,Fernández Alonso,4,Santa Cruz,19808
71004,2021-11-16,Fernández Alonso,2,Santa Cruz,19808
71004,2021-11-17,Fernández Alonso,2,Santa Cruz,19808
71004,2021-11-19,Fernández Alonso,1,Santa Cruz,19808
71004,2021-11-22,Fernández Alonso,1,Santa Cruz,19808
71004,2021-11-23,Fernández Alonso,4,Santa Cruz,19808
71004,2021-11-24,Fernández Alonso,1,Santa Cruz,19808
71004,2021-11-29,Fernández Alonso,3,Santa Cruz,19808
71004,2021-12-01,Fernández Alonso,1,Santa Cruz,19808
71004,2021-12-02,Fernández Alonso,1,Santa Cruz,19808
71004,2021-12-06,Fernández Alonso,3,Santa Cruz,19808
71004,2021-12-07,Fernández Alonso,2,Santa Cruz,19808
71004,2021-12-08,Fernández Alonso,1,Santa Cruz,19808
71004,2021-12-10,Fernández Alonso,3,Santa Cruz,19808
71004,2021-12-11,Fernández Alonso,1,Santa Cruz,19808
