cod_ine,fecha,municipio,confirmados,departamento,poblacion
20602,2020-06-02,Guanay,1,La Paz,16011
20602,2020-08-03,Guanay,2,La Paz,16011
20602,2020-08-04,Guanay,1,La Paz,16011
20602,2020-08-20,Guanay,1,La Paz,16011
20602,2020-08-21,Guanay,7,La Paz,16011
20602,2020-08-24,Guanay,2,La Paz,16011
20602,2020-08-25,Guanay,2,La Paz,16011
20602,2020-08-26,Guanay,5,La Paz,16011
20602,2020-09-08,Guanay,1,La Paz,16011
20602,2020-09-14,Guanay,19,La Paz,16011
20602,2020-12-20,Guanay,5,La Paz,16011
20602,2021-01-01,Guanay,5,La Paz,16011
20602,2021-01-15,Guanay,3,La Paz,16011
20602,2021-01-31,Guanay,2,La Paz,16011
20602,2021-02-20,Guanay,1,La Paz,16011
20602,2021-02-21,Guanay,1,La Paz,16011
20602,2021-02-23,Guanay,3,La Paz,16011
20602,2021-03-05,Guanay,3,La Paz,16011
20602,2021-04-28,Guanay,8,La Paz,16011
20602,2021-04-29,Guanay,7,La Paz,16011
20602,2021-06-06,Guanay,4,La Paz,16011
20602,2021-06-11,Guanay,4,La Paz,16011
20602,2021-07-09,Guanay,1,La Paz,16011
20602,2021-07-15,Guanay,1,La Paz,16011
20602,2021-08-23,Guanay,1,La Paz,16011
20602,2021-12-04,Guanay,2,La Paz,16011
20602,2021-12-06,Guanay,14,La Paz,16011
20602,2021-12-09,Guanay,11,La Paz,16011
20602,2021-12-10,Guanay,4,La Paz,16011
20602,2021-12-12,Guanay,9,La Paz,16011
20602,2021-12-14,Guanay,9,La Paz,16011
20602,2021-12-15,Guanay,16,La Paz,16011
