cod_ine,fecha,municipio,confirmados,departamento,poblacion
51401,2020-08-16,Llica,2,Potosí,5301
51401,2020-08-17,Llica,1,Potosí,5301
51401,2020-08-18,Llica,2,Potosí,5301
51401,2020-08-22,Llica,1,Potosí,5301
51401,2020-08-28,Llica,1,Potosí,5301
51401,2020-08-29,Llica,1,Potosí,5301
51401,2020-08-31,Llica,2,Potosí,5301
51401,2020-09-01,Llica,2,Potosí,5301
51401,2020-09-02,Llica,3,Potosí,5301
51401,2020-09-04,Llica,2,Potosí,5301
51401,2020-09-05,Llica,1,Potosí,5301
51401,2020-09-07,Llica,1,Potosí,5301
51401,2020-09-09,Llica,1,Potosí,5301
51401,2020-09-15,Llica,1,Potosí,5301
51401,2020-09-22,Llica,2,Potosí,5301
51401,2020-09-28,Llica,1,Potosí,5301
51401,2021-01-12,Llica,2,Potosí,5301
51401,2021-02-21,Llica,1,Potosí,5301
51401,2021-02-25,Llica,1,Potosí,5301
51401,2021-02-28,Llica,2,Potosí,5301
51401,2021-03-02,Llica,5,Potosí,5301
51401,2021-03-03,Llica,2,Potosí,5301
51401,2021-03-14,Llica,2,Potosí,5301
51401,2021-03-16,Llica,1,Potosí,5301
51401,2021-03-21,Llica,1,Potosí,5301
51401,2021-05-17,Llica,1,Potosí,5301
51401,2021-06-01,Llica,1,Potosí,5301
51401,2021-06-17,Llica,3,Potosí,5301
51401,2021-06-30,Llica,1,Potosí,5301
51401,2021-07-02,Llica,1,Potosí,5301
51401,2021-07-10,Llica,2,Potosí,5301
51401,2021-07-22,Llica,4,Potosí,5301
51401,2021-07-24,Llica,1,Potosí,5301
51401,2021-07-25,Llica,1,Potosí,5301
51401,2021-07-28,Llica,1,Potosí,5301
51401,2021-08-03,Llica,1,Potosí,5301
51401,2021-08-21,Llica,1,Potosí,5301
51401,2021-08-23,Llica,1,Potosí,5301
51401,2021-08-24,Llica,3,Potosí,5301
51401,2021-08-31,Llica,1,Potosí,5301
51401,2021-12-20,Llica,1,Potosí,5301
51401,2022-01-04,Llica,2,Potosí,5301
51401,2022-01-06,Llica,1,Potosí,5301
51401,2022-01-07,Llica,3,Potosí,5301
51401,2022-01-08,Llica,37,Potosí,5301
51401,2022-01-09,Llica,9,Potosí,5301
51401,2022-01-10,Llica,1,Potosí,5301
51401,2022-01-11,Llica,2,Potosí,5301
51401,2022-01-12,Llica,2,Potosí,5301
51401,2022-01-13,Llica,25,Potosí,5301
51401,2022-01-14,Llica,6,Potosí,5301
51401,2022-01-15,Llica,2,Potosí,5301
51401,2022-01-16,Llica,4,Potosí,5301
51401,2022-01-17,Llica,11,Potosí,5301
51401,2022-01-18,Llica,23,Potosí,5301
51401,2022-01-19,Llica,18,Potosí,5301
51401,2022-01-20,Llica,25,Potosí,5301
51401,2022-01-29,Llica,2,Potosí,5301
