cod_ine,fecha,municipio,confirmados,departamento,poblacion
70805,2021-01-15,Pucará,2,Santa Cruz,1887
70805,2021-01-16,Pucará,2,Santa Cruz,1887
70805,2021-01-17,Pucará,3,Santa Cruz,1887
70805,2021-01-21,Pucará,2,Santa Cruz,1887
70805,2021-01-22,Pucará,1,Santa Cruz,1887
70805,2021-01-31,Pucará,2,Santa Cruz,1887
70805,2021-02-01,Pucará,1,Santa Cruz,1887
70805,2021-02-04,Pucará,2,Santa Cruz,1887
70805,2021-02-07,Pucará,1,Santa Cruz,1887
70805,2021-02-18,Pucará,2,Santa Cruz,1887
70805,2021-03-16,Pucará,1,Santa Cruz,1887
70805,2021-05-15,Pucará,1,Santa Cruz,1887
70805,2021-05-27,Pucará,2,Santa Cruz,1887
70805,2021-06-04,Pucará,2,Santa Cruz,1887
70805,2021-06-10,Pucará,1,Santa Cruz,1887
70805,2021-06-11,Pucará,1,Santa Cruz,1887
70805,2021-06-14,Pucará,2,Santa Cruz,1887
70805,2021-06-15,Pucará,1,Santa Cruz,1887
70805,2021-06-19,Pucará,1,Santa Cruz,1887
70805,2021-06-23,Pucará,1,Santa Cruz,1887
70805,2021-07-05,Pucará,1,Santa Cruz,1887
70805,2021-09-18,Pucará,1,Santa Cruz,1887
70805,2021-09-21,Pucará,5,Santa Cruz,1887
70805,2021-09-22,Pucará,2,Santa Cruz,1887
70805,2021-09-23,Pucará,8,Santa Cruz,1887
70805,2021-09-25,Pucará,1,Santa Cruz,1887
70805,2021-09-29,Pucará,1,Santa Cruz,1887
70805,2021-09-30,Pucará,1,Santa Cruz,1887
70805,2021-10-02,Pucará,2,Santa Cruz,1887
70805,2021-10-07,Pucará,1,Santa Cruz,1887
70805,2021-11-01,Pucará,2,Santa Cruz,1887
70805,2021-11-02,Pucará,1,Santa Cruz,1887
70805,2021-11-23,Pucará,2,Santa Cruz,1887
70805,2021-12-13,Pucará,1,Santa Cruz,1887
70805,2021-12-16,Pucará,1,Santa Cruz,1887
70805,2021-12-18,Pucará,2,Santa Cruz,1887
70805,2021-12-19,Pucará,1,Santa Cruz,1887
