municipio_x,fecha,cod_ine,confirmados,municipio_y,departamento,sdi,poblacion,urbanizacion
Puerto Quijarro,2020-06-04,71402,1,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-06-10,71402,7,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-06-16,71402,11,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-06-20,71402,7,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-06-22,71402,33,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-06-23,71402,1,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-06-24,71402,1,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-06-25,71402,26,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-07-01,71402,27,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-07-03,71402,6,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-07-05,71402,2,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-07-07,71402,7,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-07-08,71402,6,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-07-09,71402,2,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-07-10,71402,22,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-07-15,71402,1,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-07-21,71402,2,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-07-22,71402,3,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-07-24,71402,2,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-07-25,71402,3,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-07-30,71402,8,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-07-31,71402,6,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-08-01,71402,6,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-08-02,71402,8,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-08-03,71402,8,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-08-04,71402,3,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-08-05,71402,6,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-08-06,71402,3,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-08-07,71402,9,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-08-09,71402,2,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-08-15,71402,1,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-08-26,71402,1,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-09-24,71402,1,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-11-19,71402,1,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-11-26,71402,1,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-12-10,71402,1,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-12-18,71402,2,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2020-12-27,71402,2,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2021-01-07,71402,5,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2021-01-14,71402,1,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2021-01-24,71402,8,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2021-01-27,71402,3,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2021-02-03,71402,1,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2021-02-04,71402,1,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2021-02-05,71402,2,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2021-02-08,71402,1,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2021-02-09,71402,3,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2021-02-10,71402,2,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2021-02-12,71402,5,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2021-02-13,71402,7,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2021-02-14,71402,5,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2021-02-20,71402,4,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2021-02-23,71402,1,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
Puerto Quijarro,2021-03-03,71402,4,Puerto Quijarro,Santa Cruz,63.995586949979604,20068,98.3
