cod_ine,fecha,municipio_x,confirmados,municipio_y,departamento,sdi,poblacion,urbanizacion
31001,2020-03-22,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-04-05,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-05-08,Sacaba,4,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-05-09,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-05-10,Sacaba,6,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-05-11,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-05-12,Sacaba,19,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-05-13,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-05-14,Sacaba,4,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-05-15,Sacaba,4,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-05-16,Sacaba,5,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-05-17,Sacaba,4,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-05-19,Sacaba,2,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-05-20,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-05-21,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-05-22,Sacaba,5,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-05-24,Sacaba,14,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-05-26,Sacaba,2,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-05-28,Sacaba,7,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-05-29,Sacaba,7,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-05-30,Sacaba,12,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-05-31,Sacaba,4,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-01,Sacaba,18,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-02,Sacaba,11,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-03,Sacaba,11,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-04,Sacaba,8,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-05,Sacaba,14,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-06,Sacaba,8,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-07,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-08,Sacaba,4,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-09,Sacaba,6,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-10,Sacaba,5,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-12,Sacaba,5,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-13,Sacaba,28,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-14,Sacaba,29,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-15,Sacaba,24,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-16,Sacaba,4,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-17,Sacaba,24,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-18,Sacaba,7,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-19,Sacaba,19,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-20,Sacaba,3,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-21,Sacaba,12,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-22,Sacaba,5,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-23,Sacaba,8,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-24,Sacaba,10,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-25,Sacaba,7,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-26,Sacaba,20,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-27,Sacaba,10,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-28,Sacaba,8,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-06-30,Sacaba,10,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-01,Sacaba,2,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-02,Sacaba,6,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-03,Sacaba,26,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-04,Sacaba,10,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-06,Sacaba,14,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-07,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-08,Sacaba,2,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-09,Sacaba,4,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-10,Sacaba,10,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-11,Sacaba,4,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-12,Sacaba,2,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-13,Sacaba,5,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-14,Sacaba,6,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-15,Sacaba,22,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-16,Sacaba,12,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-17,Sacaba,5,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-18,Sacaba,3,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-19,Sacaba,2,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-20,Sacaba,3,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-21,Sacaba,4,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-22,Sacaba,5,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-23,Sacaba,11,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-24,Sacaba,3,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-25,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-26,Sacaba,2,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-27,Sacaba,4,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-28,Sacaba,4,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-29,Sacaba,6,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-30,Sacaba,4,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-07-31,Sacaba,31,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-01,Sacaba,30,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-02,Sacaba,5,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-03,Sacaba,11,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-04,Sacaba,19,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-05,Sacaba,14,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-06,Sacaba,3,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-07,Sacaba,8,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-08,Sacaba,3,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-09,Sacaba,5,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-10,Sacaba,2,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-11,Sacaba,3,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-12,Sacaba,17,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-13,Sacaba,2,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-14,Sacaba,6,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-15,Sacaba,14,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-17,Sacaba,2,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-18,Sacaba,7,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-19,Sacaba,11,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-21,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-22,Sacaba,11,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-23,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-24,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-25,Sacaba,2,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-27,Sacaba,4,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-29,Sacaba,5,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-30,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-08-31,Sacaba,6,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-09-01,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-09-02,Sacaba,3,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-09-03,Sacaba,3,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-09-08,Sacaba,2,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-09-09,Sacaba,3,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-09-11,Sacaba,5,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-09-12,Sacaba,9,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-09-13,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-09-14,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-09-16,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-09-17,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-09-18,Sacaba,2,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-09-21,Sacaba,2,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-09-23,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-09-24,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-09-25,Sacaba,2,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-09-26,Sacaba,2,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-09-28,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-09-30,Sacaba,2,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-10-05,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-10-06,Sacaba,5,Sacaba,Cochabamba,68.4849022939002,208913,87.0
31001,2020-10-08,Sacaba,1,Sacaba,Cochabamba,68.4849022939002,208913,87.0
