municipio_x,fecha,cod_ine,confirmados,municipio_y,departamento,sdi,poblacion,urbanizacion
Samaipata,2020-05-05,70901,1,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2020-05-14,70901,1,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2020-05-30,70901,2,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2020-06-01,70901,2,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2020-06-04,70901,2,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2020-06-19,70901,1,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2020-07-02,70901,2,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2020-07-03,70901,5,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2020-07-10,70901,1,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2020-07-11,70901,1,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2020-07-14,70901,1,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2020-07-22,70901,2,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2020-07-25,70901,4,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2020-08-01,70901,1,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2020-08-03,70901,1,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2020-08-06,70901,3,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2020-08-09,70901,3,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2020-08-29,70901,1,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2020-10-02,70901,5,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2021-01-04,70901,1,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2021-01-05,70901,1,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2021-01-09,70901,1,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2021-01-12,70901,2,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2021-01-14,70901,3,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2021-01-15,70901,3,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2021-01-18,70901,7,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2021-01-20,70901,5,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2021-01-22,70901,2,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2021-01-26,70901,3,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2021-01-30,70901,1,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2021-02-03,70901,1,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2021-02-08,70901,2,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2021-02-09,70901,2,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
Samaipata,2021-02-10,70901,1,Samaipata,Santa Cruz,59.0342827288493,11731,42.0
