municipio_x,fecha,cod_ine,confirmados,municipio_y,departamento,sdi,poblacion,urbanizacion
San Antonio de Lomerio,2020-05-05,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-05-21,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-05-26,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-05-28,71104,6,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-05-30,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-06-01,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-06-02,71104,3,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-06-08,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-06-10,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-06-11,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-06-12,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-06-13,71104,7,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-06-16,71104,8,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-06-17,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-06-18,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-06-20,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-06-24,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-06-25,71104,5,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-06-26,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-06-27,71104,6,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-06-29,71104,9,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-06-30,71104,4,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-03,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-05,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-06,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-07,71104,4,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-08,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-09,71104,10,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-10,71104,4,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-11,71104,4,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-12,71104,10,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-13,71104,5,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-14,71104,17,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-15,71104,5,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-16,71104,5,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-17,71104,11,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-18,71104,4,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-19,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-20,71104,4,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-21,71104,10,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-22,71104,5,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-23,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-26,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-28,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-30,71104,4,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-07-31,71104,4,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-08-01,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-08-04,71104,7,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-08-06,71104,12,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-08-07,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-08-08,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-08-09,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-08-10,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-08-11,71104,3,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-08-12,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-08-14,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-08-17,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-08-25,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-11-17,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-11-23,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-11-30,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-12-03,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-12-16,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-12-17,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-12-22,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-12-24,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2020-12-30,71104,3,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-01-04,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-01-12,71104,8,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-01-15,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-01-16,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-01-20,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-01-23,71104,6,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-01-25,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-01-27,71104,3,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-01-28,71104,8,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-01-30,71104,4,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-01-31,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-02-02,71104,6,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-02-03,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-02-04,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-02-07,71104,3,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-02-09,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-02-11,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-02-12,71104,3,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-02-13,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-02-19,71104,5,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-02-23,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-02-26,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-03-01,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-03-11,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-03-13,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-03-16,71104,3,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-03-18,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-03-19,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-03-20,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-03-21,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-03-24,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-03-28,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-03-29,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-03-30,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-04-01,71104,4,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-04-02,71104,4,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-04-03,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-04-09,71104,4,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-04-19,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-04-21,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-04-26,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-04-27,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-05-04,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-05-05,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-05-07,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-05-08,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-05-09,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-05-10,71104,4,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-05-11,71104,3,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-05-12,71104,4,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-05-13,71104,1,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-05-14,71104,4,San Julián,Santa Cruz,52.082134468724,67701,40.9
San Antonio de Lomerio,2021-05-15,71104,2,San Julián,Santa Cruz,52.082134468724,67701,40.9
