cod_ine,fecha,municipio,confirmados,departamento,poblacion
80101,2020-04-20,Trinidad,2,Beni,130657
80101,2020-04-24,Trinidad,31,Beni,130657
80101,2020-04-25,Trinidad,5,Beni,130657
80101,2020-04-26,Trinidad,18,Beni,130657
80101,2020-04-27,Trinidad,5,Beni,130657
80101,2020-04-28,Trinidad,1,Beni,130657
80101,2020-04-29,Trinidad,4,Beni,130657
80101,2020-05-01,Trinidad,16,Beni,130657
80101,2020-05-02,Trinidad,108,Beni,130657
80101,2020-05-03,Trinidad,21,Beni,130657
80101,2020-05-07,Trinidad,19,Beni,130657
80101,2020-05-08,Trinidad,80,Beni,130657
80101,2020-05-10,Trinidad,7,Beni,130657
80101,2020-05-11,Trinidad,68,Beni,130657
80101,2020-05-13,Trinidad,41,Beni,130657
80101,2020-05-14,Trinidad,69,Beni,130657
80101,2020-05-15,Trinidad,36,Beni,130657
80101,2020-05-16,Trinidad,3,Beni,130657
80101,2020-05-18,Trinidad,28,Beni,130657
80101,2020-05-19,Trinidad,95,Beni,130657
80101,2020-05-20,Trinidad,141,Beni,130657
80101,2020-05-21,Trinidad,60,Beni,130657
80101,2020-05-22,Trinidad,106,Beni,130657
80101,2020-05-23,Trinidad,82,Beni,130657
80101,2020-05-25,Trinidad,40,Beni,130657
80101,2020-05-26,Trinidad,99,Beni,130657
80101,2020-05-27,Trinidad,103,Beni,130657
80101,2020-05-28,Trinidad,75,Beni,130657
80101,2020-05-29,Trinidad,65,Beni,130657
80101,2020-05-30,Trinidad,123,Beni,130657
80101,2020-05-31,Trinidad,65,Beni,130657
80101,2020-06-01,Trinidad,68,Beni,130657
80101,2020-06-02,Trinidad,66,Beni,130657
80101,2020-06-03,Trinidad,90,Beni,130657
80101,2020-06-04,Trinidad,169,Beni,130657
80101,2020-06-05,Trinidad,145,Beni,130657
80101,2020-06-06,Trinidad,19,Beni,130657
80101,2020-06-07,Trinidad,34,Beni,130657
80101,2020-06-08,Trinidad,13,Beni,130657
80101,2020-06-09,Trinidad,104,Beni,130657
80101,2020-06-10,Trinidad,36,Beni,130657
80101,2020-06-11,Trinidad,16,Beni,130657
80101,2020-06-12,Trinidad,33,Beni,130657
80101,2020-06-16,Trinidad,5,Beni,130657
80101,2020-06-17,Trinidad,95,Beni,130657
80101,2020-06-18,Trinidad,95,Beni,130657
80101,2020-06-19,Trinidad,93,Beni,130657
80101,2020-06-20,Trinidad,44,Beni,130657
80101,2020-06-21,Trinidad,7,Beni,130657
80101,2020-06-22,Trinidad,36,Beni,130657
80101,2020-06-23,Trinidad,45,Beni,130657
80101,2020-06-24,Trinidad,71,Beni,130657
80101,2020-06-25,Trinidad,7,Beni,130657
80101,2020-06-26,Trinidad,11,Beni,130657
80101,2020-06-27,Trinidad,29,Beni,130657
80101,2020-06-28,Trinidad,50,Beni,130657
80101,2020-06-29,Trinidad,8,Beni,130657
80101,2020-06-30,Trinidad,38,Beni,130657
80101,2020-07-01,Trinidad,32,Beni,130657
80101,2020-07-02,Trinidad,10,Beni,130657
80101,2020-07-03,Trinidad,23,Beni,130657
80101,2020-07-04,Trinidad,4,Beni,130657
80101,2020-07-06,Trinidad,21,Beni,130657
80101,2020-07-07,Trinidad,27,Beni,130657
80101,2020-07-08,Trinidad,73,Beni,130657
80101,2020-07-09,Trinidad,56,Beni,130657
80101,2020-07-10,Trinidad,59,Beni,130657
80101,2020-07-11,Trinidad,6,Beni,130657
80101,2020-07-12,Trinidad,26,Beni,130657
80101,2020-07-13,Trinidad,20,Beni,130657
80101,2020-07-14,Trinidad,23,Beni,130657
80101,2020-07-15,Trinidad,33,Beni,130657
80101,2020-07-16,Trinidad,39,Beni,130657
80101,2020-07-18,Trinidad,1,Beni,130657
80101,2020-07-21,Trinidad,4,Beni,130657
80101,2020-07-24,Trinidad,15,Beni,130657
80101,2020-07-27,Trinidad,2,Beni,130657
80101,2020-07-28,Trinidad,3,Beni,130657
80101,2020-07-29,Trinidad,7,Beni,130657
80101,2020-07-30,Trinidad,16,Beni,130657
80101,2020-07-31,Trinidad,42,Beni,130657
80101,2020-08-01,Trinidad,10,Beni,130657
80101,2020-08-02,Trinidad,49,Beni,130657
80101,2020-08-03,Trinidad,15,Beni,130657
80101,2020-08-04,Trinidad,24,Beni,130657
80101,2020-08-05,Trinidad,18,Beni,130657
80101,2020-08-06,Trinidad,11,Beni,130657
