cod_ine,fecha,municipio_x,confirmados,municipio_y,departamento,sdi,poblacion,urbanizacion
50801,2020-07-15,Tupiza,1,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-05,Tupiza,2,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-06,Tupiza,3,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-10,Tupiza,2,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-11,Tupiza,2,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-12,Tupiza,2,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-13,Tupiza,2,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-14,Tupiza,4,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-15,Tupiza,8,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-16,Tupiza,8,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-18,Tupiza,2,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-19,Tupiza,14,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-20,Tupiza,13,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-21,Tupiza,5,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-22,Tupiza,3,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-24,Tupiza,3,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-25,Tupiza,4,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-27,Tupiza,8,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-28,Tupiza,20,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-29,Tupiza,3,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-30,Tupiza,1,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-08-31,Tupiza,1,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-09-01,Tupiza,4,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-09-02,Tupiza,1,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-09-03,Tupiza,10,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-09-04,Tupiza,4,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-09-06,Tupiza,5,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-09-07,Tupiza,3,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-09-09,Tupiza,7,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-09-15,Tupiza,2,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-09-18,Tupiza,83,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-09-26,Tupiza,33,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-09-27,Tupiza,4,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-09-28,Tupiza,22,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-10-02,Tupiza,54,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-10-09,Tupiza,12,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-10-14,Tupiza,2,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-10-19,Tupiza,12,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-10-23,Tupiza,1,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-10-27,Tupiza,4,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-10-29,Tupiza,3,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-11-11,Tupiza,13,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-11-12,Tupiza,14,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-11-13,Tupiza,15,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-11-15,Tupiza,15,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-11-16,Tupiza,12,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-11-18,Tupiza,12,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-11-19,Tupiza,33,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-11-20,Tupiza,3,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-11-21,Tupiza,3,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-11-22,Tupiza,11,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-11-24,Tupiza,6,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-11-26,Tupiza,1,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-11-27,Tupiza,7,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-12-02,Tupiza,15,Tupiza,Potosí,59.919224471313704,48591,61.3
50801,2020-12-05,Tupiza,7,Tupiza,Potosí,59.919224471313704,48591,61.3
