cod_ine,fecha,municipio,confirmados,departamento,poblacion
51201,2020-04-17,Uyuni,1,Potosí,39494
51201,2020-05-05,Uyuni,2,Potosí,39494
51201,2020-06-15,Uyuni,1,Potosí,39494
51201,2020-06-19,Uyuni,1,Potosí,39494
51201,2020-06-23,Uyuni,4,Potosí,39494
51201,2020-06-25,Uyuni,3,Potosí,39494
51201,2020-06-28,Uyuni,5,Potosí,39494
51201,2020-06-30,Uyuni,2,Potosí,39494
51201,2020-07-09,Uyuni,2,Potosí,39494
51201,2020-07-12,Uyuni,1,Potosí,39494
51201,2020-07-13,Uyuni,1,Potosí,39494
51201,2020-07-17,Uyuni,3,Potosí,39494
51201,2020-07-19,Uyuni,1,Potosí,39494
51201,2020-07-23,Uyuni,1,Potosí,39494
51201,2020-07-24,Uyuni,10,Potosí,39494
51201,2020-07-26,Uyuni,1,Potosí,39494
51201,2020-07-27,Uyuni,2,Potosí,39494
51201,2020-07-30,Uyuni,2,Potosí,39494
51201,2020-07-31,Uyuni,1,Potosí,39494
51201,2020-08-03,Uyuni,1,Potosí,39494
51201,2020-08-08,Uyuni,1,Potosí,39494
51201,2020-08-10,Uyuni,7,Potosí,39494
51201,2020-08-15,Uyuni,3,Potosí,39494
51201,2020-08-17,Uyuni,19,Potosí,39494
51201,2020-08-25,Uyuni,2,Potosí,39494
51201,2020-08-31,Uyuni,5,Potosí,39494
51201,2020-09-01,Uyuni,4,Potosí,39494
51201,2020-09-02,Uyuni,1,Potosí,39494
51201,2020-09-03,Uyuni,9,Potosí,39494
51201,2020-09-04,Uyuni,32,Potosí,39494
51201,2020-09-05,Uyuni,42,Potosí,39494
51201,2020-09-06,Uyuni,32,Potosí,39494
51201,2020-09-07,Uyuni,2,Potosí,39494
51201,2020-09-10,Uyuni,1,Potosí,39494
51201,2020-10-05,Uyuni,3,Potosí,39494
51201,2020-10-22,Uyuni,8,Potosí,39494
51201,2020-10-27,Uyuni,1,Potosí,39494
51201,2020-11-04,Uyuni,1,Potosí,39494
51201,2020-11-13,Uyuni,7,Potosí,39494
51201,2020-11-17,Uyuni,1,Potosí,39494
51201,2020-11-30,Uyuni,1,Potosí,39494
51201,2020-12-02,Uyuni,1,Potosí,39494
51201,2020-12-07,Uyuni,9,Potosí,39494
51201,2020-12-13,Uyuni,1,Potosí,39494
51201,2020-12-14,Uyuni,6,Potosí,39494
51201,2020-12-18,Uyuni,2,Potosí,39494
51201,2020-12-24,Uyuni,1,Potosí,39494
51201,2020-12-30,Uyuni,1,Potosí,39494
51201,2020-12-31,Uyuni,10,Potosí,39494
51201,2021-01-05,Uyuni,4,Potosí,39494
51201,2021-01-06,Uyuni,5,Potosí,39494
51201,2021-01-09,Uyuni,2,Potosí,39494
51201,2021-01-13,Uyuni,3,Potosí,39494
51201,2021-01-14,Uyuni,4,Potosí,39494
51201,2021-01-15,Uyuni,4,Potosí,39494
51201,2021-01-16,Uyuni,4,Potosí,39494
51201,2021-01-18,Uyuni,1,Potosí,39494
51201,2021-01-20,Uyuni,11,Potosí,39494
51201,2021-01-21,Uyuni,3,Potosí,39494
51201,2021-01-25,Uyuni,3,Potosí,39494
51201,2021-02-03,Uyuni,9,Potosí,39494
51201,2021-02-05,Uyuni,8,Potosí,39494
51201,2021-02-10,Uyuni,3,Potosí,39494
51201,2021-02-25,Uyuni,7,Potosí,39494
51201,2021-02-26,Uyuni,2,Potosí,39494
51201,2021-03-02,Uyuni,7,Potosí,39494
51201,2021-03-05,Uyuni,1,Potosí,39494
51201,2021-03-08,Uyuni,1,Potosí,39494
51201,2021-03-15,Uyuni,8,Potosí,39494
