,Bolivia,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Chuquisaca,Tarija,Beni,Pando
2020-05-07,,,,,,,,,,
2020-05-08,10585.0,2693.0,1293.0,4918.0,587.0,205.0,187.0,69.0,542.0,91.0
2020-05-09,11347.0,2790.0,1324.5,5219.5,601.0,227.5,215.0,70.0,550.0,93.28571428571429
2020-05-10,12109.0,2887.0,1356.0,5521.0,615.0,250.0,243.0,71.0,558.0,95.57142857142857
2020-05-11,12871.0,2994.3333333333335,1445.2,5885.6,630.0,256.1666666666667,248.16666666666666,80.6,620.4,97.85714285714286
2020-05-12,13633.0,3101.6666666666665,1534.4,6250.2,645.0,262.3333333333333,253.33333333333334,90.2,682.8,100.14285714285714
2020-05-13,14395.0,3209.0,1623.6,6614.8,660.0,268.5,258.5,99.8,745.2,102.42857142857143
2020-05-14,15157.0,3316.3333333333335,1712.8,6979.4,675.0,274.6666666666667,263.6666666666667,109.4,807.6,104.71428571428571
2020-05-15,15919.0,3423.6666666666665,1802.0,7344.0,690.0,280.8333333333333,268.8333333333333,119.0,870.0,107.0
2020-05-16,16681.0,3531.0,1903.75,7748.0,699.0,287.0,274.0,138.0,970.0,108.25
2020-05-17,17443.0,3589.0,2005.5,8128.333333333333,708.0,292.75,300.3333333333333,145.0,1012.6666666666666,109.5
2020-05-18,18205.0,3647.0,2107.25,8508.666666666666,717.0,298.5,326.6666666666667,152.0,1055.3333333333333,110.75
2020-05-19,18967.0,3705.0,2209.0,8889.0,726.0,304.25,353.0,159.0,1098.0,112.0
2020-05-20,19729.0,3796.5,2319.0,9411.0,730.0,310.0,365.125,171.0,1262.0,112.0
2020-05-21,20491.0,3888.0,2427.0,9779.0,748.0,319.0,377.25,195.0,1395.0,112.0
2020-05-22,21253.0,3999.6666666666665,2550.6666666666665,10314.666666666666,766.6666666666666,340.6666666666667,389.375,197.33333333333334,1484.6666666666667,113.66666666666667
2020-05-23,22015.0,4111.333333333333,2674.3333333333335,10850.333333333334,785.3333333333334,362.3333333333333,401.5,199.66666666666666,1574.3333333333333,115.33333333333333
2020-05-24,22777.0,4223.0,2798.0,11386.0,804.0,384.0,413.625,202.0,1664.0,117.0
2020-05-25,23539.0,4290.0,2854.0,11863.0,811.0,396.0,425.75,244.0,1769.0,118.33333333333333
2020-05-26,24301.0,4420.0,3003.0,12541.5,821.0,402.0,437.875,255.5,1916.5,119.66666666666667
2020-05-27,25063.0,4550.0,3152.0,13220.0,831.0,408.0,450.0,267.0,2064.0,121.0
2020-05-28,26155.916666666668,4617.0,3245.0,13886.0,850.0,451.0,455.0,293.0,2266.0,126.33333333333333
2020-05-29,27248.833333333332,4712.0,3370.6666666666665,14393.0,873.0,466.0,464.75,320.3333333333333,2377.3333333333335,131.66666666666666
2020-05-30,28341.75,4807.0,3496.3333333333335,14900.0,896.0,481.0,474.5,347.6666666666667,2488.6666666666665,137.0
2020-05-31,29434.666666666668,4902.0,3622.0,15407.0,919.0,496.0,484.25,375.0,2600.0,142.33333333333334
2020-06-01,30527.583333333336,5101.571428571428,3777.8,16012.2,941.8,557.4,494.0,403.6,2766.6,147.66666666666666
2020-06-02,31620.5,5301.142857142857,3933.6,16617.4,964.6,618.8,503.75,432.2,2933.2,153.0
2020-06-03,32713.416666666668,5500.714285714286,4089.4,17222.6,987.4,680.2,513.5,460.8,3099.8,158.33333333333331
2020-06-04,33806.333333333336,5700.285714285715,4245.2,17827.8,1010.2,741.6,523.25,489.4,3266.4,163.66666666666666
2020-06-05,34899.25,5899.857142857143,4401.0,18433.0,1033.0,803.0,533.0,518.0,3433.0,169.0
2020-06-06,35992.16666666667,6099.428571428572,4535.5,18882.5,1065.5,893.0,543.3333333333334,538.5,3500.5,222.0
2020-06-07,37085.083333333336,6299.0,4670.0,19332.0,1098.0,983.0,553.6666666666666,559.0,3568.0,275.0
2020-06-08,38178.0,6425.0,4930.0,19599.0,1116.0,999.0,564.0,595.0,3643.0,307.0
2020-06-09,39608.0,6557.0,5080.0,20328.0,1178.0,1075.0,572.0,621.0,3824.0,373.0
2020-06-10,41173.5,6690.5,5198.0,21151.5,1257.0,1169.5,618.0,686.5,3932.0,470.5
2020-06-11,42739.0,6824.0,5316.0,21975.0,1336.0,1264.0,664.0,752.0,4040.0,568.0
2020-06-12,44282.666666666664,7184.0,5511.0,22656.0,1405.0,1272.0,707.0,777.0,4276.0,711.0
2020-06-13,45826.333333333336,7442.5,5706.0,23327.5,1447.0,1390.5,742.0,809.5,4306.5,763.0
2020-06-14,47370.0,7701.0,5901.0,23999.0,1489.0,1509.0,777.0,842.0,4337.0,815.0
2020-06-15,48754.0,8009.0,6263.0,24470.0,1521.0,1582.0,820.0,865.0,4379.0,845.0
2020-06-16,50087.333333333336,8111.666666666667,6445.333333333333,25030.666666666668,1565.6666666666667,1646.0,883.0,928.3333333333334,4585.666666666667,891.0
2020-06-17,51420.666666666664,8214.333333333334,6627.666666666667,25591.333333333332,1610.3333333333333,1710.0,946.0,991.6666666666666,4792.333333333333,937.0
2020-06-18,52754.0,8317.0,6810.0,26152.0,1655.0,1774.0,1009.0,1055.0,4999.0,983.0
2020-06-19,54858.0,8987.0,7012.0,27033.0,1717.0,1869.0,1071.0,1193.0,5215.0,1054.5
2020-06-20,56962.0,9210.0,7120.0,27836.0,1765.0,1960.0,1208.0,1308.0,5429.0,1126.0
2020-06-21,58787.0,9710.0,7414.0,28564.0,1813.0,1970.0,1288.0,1411.0,5482.0,1135.0
2020-06-22,61453.0,10158.0,7506.0,30012.0,1981.0,2204.0,1305.0,1488.0,5644.0,1155.0
2020-06-23,63167.333333333336,10489.666666666666,7739.333333333333,30611.333333333332,2038.0,2255.0,1498.0,1578.0,5796.0,1162.0
2020-06-24,64881.666666666664,10821.333333333334,7972.666666666667,31210.666666666668,2095.0,2306.0,1691.0,1668.0,5948.0,1169.0
2020-06-25,66596.0,11153.0,8206.0,31810.0,2152.0,2357.0,1884.0,1758.0,6100.0,1176.0
2020-06-26,68369.6,11562.0,8648.0,32387.0,2266.0,2357.0,2118.0,1874.8,6131.0,1267.0
2020-06-27,70143.2,11816.0,8850.5,33095.0,2326.5,2426.5,2305.25,1991.6,6243.0,1269.75
2020-06-28,71916.8,12070.0,9053.0,33803.0,2387.0,2496.0,2492.5,2108.4,6355.0,1272.5
2020-06-29,73690.4,12324.0,9255.5,34511.0,2447.5,2565.5,2679.75,2225.2,6467.0,1275.25
2020-06-30,75464.0,12578.0,9458.0,35219.0,2508.0,2635.0,2867.0,2342.0,6579.0,1278.0
2020-07-01,77514.5,13066.0,9678.0,35735.0,2592.0,2722.0,3094.0,2499.0,6724.0,1350.0
2020-07-02,79565.0,13420.0,9845.0,36589.0,2731.0,2757.0,3321.0,2652.0,6803.0,1447.0
2020-07-03,81784.0,13951.0,10203.0,37282.0,2807.0,2805.0,3491.0,2844.0,6929.0,1472.0
2020-07-04,84330.0,14638.5,10297.0,38416.0,2879.0,2839.5,3672.0,3006.0,6936.0,1646.0
