,Bolivia,La Paz,Cochabamba,Santa Cruz,Oruro,Potosí,Chuquisaca,Tarija,Beni,Pando
2020-05-07,,,,,,,,,,
2020-05-08,457.0,128.0,52.0,157.0,8.0,14.0,1.0,13.0,81.0,3.0
2020-05-09,618.5,123.0,46.0,256.0,8.0,16.0,28.0,2.0,9.0,5.333333333333329
2020-05-10,618.5,71.0,17.0,347.0,20.0,29.0,28.0,,7.0,5.333333333333343
2020-05-11,618.5,83.0,9.0,647.0,13.0,7.0,11.0,1.0,84.0,5.333333333333329
2020-05-12,618.5,103.0,117.0,260.0,18.0,7.0,,22.0,69.0,
2020-05-13,546.5,132.0,68.0,283.0,2.0,2.0,,13.0,47.0,
2020-05-14,546.5,6.0,112.0,327.0,17.0,11.0,,,73.0,
2020-05-15,789.4166666666661,160.0,140.0,306.0,25.0,5.0,10.0,12.0,39.0,
2020-05-16,789.4166666666679,160.0,89.33333333333326,404.0,9.0,5.0,10.0,19.0,100.0,1.6666666666666714
2020-05-17,789.4166666666661,46.0,89.33333333333348,521.0,5.0,12.0,35.5,,,1.6666666666666572
2020-05-18,789.4166666666679,64.0,89.33333333333326,225.0,2.0,3.6666666666666856,35.5,,30.0,1.6666666666666714
2020-05-19,789.4166666666642,64.0,139.0,395.0,20.0,3.6666666666666288,8.0,21.0,98.0,
2020-05-20,789.4166666666679,91.5,110.0,522.0,4.0,3.6666666666666856,16.333333333333314,12.0,164.0,
2020-05-21,789.4166666666642,91.5,108.0,368.0,18.0,9.0,16.33333333333337,24.0,133.0,
2020-05-22,789.4166666666679,71.0,71.0,489.0,7.0,22.0,16.333333333333314,7.0,138.0,1.6666666666666714
2020-05-23,789.4166666666679,132.0,150.0,639.0,9.0,19.0,18.0,,119.0,1.6666666666666572
2020-05-24,789.4166666666642,132.0,150.0,479.0,40.0,24.0,2.3333333333333144,,12.0,1.6666666666666714
2020-05-25,789.4166666666679,67.0,56.0,477.0,7.0,12.0,2.3333333333333712,42.0,105.0,2.0
2020-05-26,789.4166666666679,120.0,25.0,539.0,18.0,9.0,2.3333333333333144,,139.0,2.0
2020-05-27,1438.0,140.0,273.0,818.0,2.0,3.0,23.0,23.0,156.0,
2020-05-28,947.5,67.0,93.0,666.0,19.0,43.0,5.0,26.0,202.0,19.5
2020-05-29,947.5,83.0,147.0,350.0,12.0,4.0,8.0,52.0,79.0,19.5
2020-05-30,1025.6666666666679,100.0,109.0,862.0,24.0,21.0,6.333333333333314,30.0,148.0,
2020-05-31,1025.6666666666642,102.0,121.0,309.0,33.0,20.0,6.333333333333371,,107.0,
